phase,metric,mean,ci_low,ci_high,n
Early,task_choice_divergence,0.02063896178042244,0.017526692562674417,0.02375123099817046,20
Late,task_choice_divergence,0.024373076531935524,0.02069637467787643,0.02804977838599462,20
