scenario,final_mean_quality,final_mean_knowledge,final_mean_trust_ai,final_mean_trust_peer,final_HIRI,final_AMR,final_avg_tie_strength,final_gini_performance
baseline_human_only,0.2470524200250585,0.8745520387437842,0.0,0.010500000000000002,0.944954128440367,0.5583333333333333,0.6126554400177795,0.10596580696467267
baseline_human_only,0.2131192112753115,0.8469237542580693,0.0,0.0055000000000000005,0.9626168224299065,0.525,0.6188405144719975,0.1427932800598964
baseline_human_only,0.299983442886578,0.8664029986826549,0.0,0.019583333333333338,0.9903846153846154,0.5,0.6266112454149682,0.1064185962415838
baseline_human_only,0.23559672980449076,0.8477149572882844,0.0,0.009916666666666669,0.9813084112149533,0.5166666666666667,0.6245869232415657,0.13859330232344985
baseline_human_only,0.21877903559391135,0.8597880569548472,0.0,0.008166666666666668,1.0196078431372548,0.5166666666666667,0.6365723092981087,0.11602355154973065
baseline_human_only,0.24338996147357686,0.8573693014073445,0.0,0.010583333333333333,0.8938053097345132,0.6083333333333333,0.6231283632426948,0.10497512918481716
baseline_human_only,0.32980662108167114,0.8420023112572655,0.0,0.014375000000000002,1.0480769230769231,0.44166666666666665,0.6123892733824849,0.10468649127068375
baseline_human_only,0.3558118318897243,0.8575356651968397,0.0,0.015250000000000001,1.0097087378640777,0.5333333333333333,0.5864169248494364,0.11565782420731167
baseline_human_only,0.27016620059834423,0.8672779396402334,0.0,0.008416666666666666,1.0194174757281553,0.55,0.5789211703858167,0.10379930065203462
baseline_human_only,0.27137367584728744,0.8701250589504911,0.0,0.013000000000000001,0.9292035398230089,0.5416666666666666,0.6209619244560831,0.09964209529025943
baseline_human_only,0.25862768668759906,0.8799775980737461,0.0,0.004125,1.0186915887850467,0.525,0.5904639841342301,0.10810472435709856
baseline_human_only,0.28599278506182385,0.8926901555575867,0.0,0.008188975275686955,0.9646017699115044,0.4666666666666667,0.607021309751598,0.09557203239210733
baseline_human_only,0.30644025504322425,0.8888864317220173,0.0,0.01725,1.0,0.5333333333333333,0.624150713420559,0.10639762685048368
baseline_human_only,0.31681534893521585,0.9140285716183943,0.0,0.015208333333333336,0.990909090909091,0.38333333333333336,0.6460525556495096,0.0970425410180575
baseline_human_only,0.2410282623885342,0.8977668292573795,0.0,0.004125000000000001,1.0,0.475,0.6481677058918787,0.11388826805846247
baseline_human_only,0.22975027617076121,0.8615322594584176,0.0,0.007902042880967963,0.9439252336448598,0.575,0.6314418769073377,0.12348992215413451
baseline_human_only,0.19884293724174712,0.8294107628048567,0.0,0.0027916666666666667,1.0097087378640777,0.6166666666666667,0.5670224521487389,0.11918052553372364
baseline_human_only,0.2179296063534912,0.8669793744274797,0.0,0.006000000000000001,0.8898305084745762,0.5083333333333333,0.6127538205227129,0.12104538838133037
baseline_human_only,0.21542006958297388,0.8663033128092198,0.0,0.006875000000000001,0.963302752293578,0.48333333333333334,0.6257172034323956,0.09793664526677762
baseline_human_only,0.25132824231111867,0.8700025932829735,0.0,0.007666666666666668,0.981651376146789,0.45,0.6148961065095317,0.10912361733801886
ai_as_substitute,0.33256909988169514,0.9257237159870011,0.014453719614142716,0.03756307913710496,0.9726027397260274,0.7166666666666667,0.6249046707303153,0.0996064139628315
ai_as_substitute,0.38134317379274607,0.9263000095661338,0.009916666666666667,0.03246659500750956,0.8354430379746836,0.7833333333333333,0.6177650580620112,0.09296716910237969
ai_as_substitute,0.35286239987789725,0.9254882587047857,0.024032664632204,0.056340278277408964,0.8117647058823529,0.8416666666666667,0.6477380829697272,0.0992929675495507
ai_as_substitute,0.41743720311204185,0.9308167704731619,0.010233333333333336,0.026645244987475596,0.9852941176470589,0.8083333333333333,0.6152644027658053,0.08590203491715055
ai_as_substitute,0.41096669981918305,0.9448960736204408,0.04819344546626489,0.08199159370634375,1.025974025974026,0.7583333333333333,0.6601462338218191,0.10888913715661189
ai_as_substitute,0.3316605822028558,0.922579621219817,0.00865,0.01885221042616891,0.7974683544303798,0.8916666666666667,0.6124950836352843,0.09483719014774714
ai_as_substitute,0.34707401729596,0.9049652570754422,0.02528333333333333,0.03320899750490225,0.922077922077922,0.8,0.6030998042210995,0.10131456016463655
ai_as_substitute,0.2917686121297684,0.9446141216083628,0.034183333333333336,0.0588195688676211,0.8648648648648649,0.8583333333333333,0.6594122570848826,0.0938164381536046
ai_as_substitute,0.27985404442840617,0.9270114656176387,0.0393330596144177,0.07331432805815616,0.9565217391304348,0.825,0.6705157897647815,0.11225993223708229
ai_as_substitute,0.3307405487897818,0.9124447258616057,0.009794018444942315,0.0342723454261659,0.9558823529411765,0.825,0.6050675976162456,0.08801580851370036
ai_as_substitute,0.264289797471821,0.9211945221601929,0.034566811989015296,0.047715910200643176,0.7916666666666666,0.8166666666666667,0.6220431851178735,0.11287408495698362
ai_as_substitute,0.2553955828743174,0.9380418951649465,0.008333333333333333,0.021643588633667422,0.8974358974358975,0.775,0.6240311683859336,0.0847968155062833
ai_as_substitute,0.26150964807882626,0.9269263088210669,0.016666666666666666,0.020735816424080178,0.8513513513513513,0.875,0.6022551758419088,0.0999270598304126
ai_as_substitute,0.4221796060715711,0.9484553404115339,0.05221666666666667,0.08358874492980191,0.8023255813953488,0.8,0.665926120159538,0.10596400104271665
ai_as_substitute,0.2861580684764198,0.9063586775119202,0.025,0.030065122337900898,0.9253731343283582,0.85,0.5871559632339147,0.09929951960495137
ai_as_substitute,0.43154283281618633,0.9496655140364508,0.029366666666666662,0.06107479353542491,0.7317073170731707,0.8,0.6494696733877142,0.10402835764832036
ai_as_substitute,0.3055116565686517,0.9379484854517669,0.017616666666666666,0.01773477268350474,0.972972972972973,0.8583333333333333,0.6231442347587861,0.08791751794038745
ai_as_substitute,0.3928424824791036,0.929460941001301,0.019560150040116984,0.037372503652981844,0.8648648648648649,0.8666666666666667,0.6229102280939177,0.09690637529007802
ai_as_substitute,0.2506276596427567,0.9392700604830468,0.017766666666666663,0.03442857273172842,0.8354430379746836,0.8083333333333333,0.6246851395940353,0.10263713144926889
ai_as_substitute,0.30589419682709934,0.9155325568692987,0.02163401853715587,0.02401534200926732,1.0,0.8,0.6083894421565746,0.10120455302482351
ai_as_complement,0.38145984020600543,0.9803293262716184,0.0014583333333333334,0.037632086302181,1.0140845070422535,0.7666666666666667,0.6688470245129302,0.07305671274969955
ai_as_complement,0.27564132736605423,0.9857954097264618,0.0016843142107643607,0.03472550812286746,0.9302325581395349,0.7666666666666667,0.6597834317816388,0.08347710239361578
