shock_condition,replication,seed,episode,peer_share,ai_share,hybrid_share,human_interaction_rate,ai_use_rate,mean_quality,success_rate,mean_knowledge,knowledge_gini,knowledge_rank_corr_with_initial,performance_gini,mean_ai_trust,mean_peer_trust,mean_tie_strength,network_density,mean_weighted_degree,recent_active_tie_fraction,mean_unique_peer_partners,ai_reliability,mean_ai_availability_probability,mean_ai_source_quality,mean_peer_source_quality,mean_peer_marginal
Stable reliability,0,20260821,1,0.3888888888888889,0.35555555555555557,0.25555555555555554,0.6444444444444444,0.6111111111111112,0.5052257503133671,0.19444444444444445,0.5190431729974672,0.1527468990359393,0.9999937292258575,0.13055185891702115,0.5013470422095212,0.5015872120857239,0.5533329248428345,0.055865921787709494,5.533329023255242,0.12777777777777777,1.2777777777777777,0.86,0.9317812537651569,0.6424117001942199,0.5261378046087624,0.006625182457459068
Stable reliability,0,20260821,2,0.31666666666666665,0.3888888888888889,0.29444444444444445,0.6111111111111112,0.6833333333333333,0.507858048141877,0.2611111111111111,0.520242538104661,0.15200055884879093,0.9999856372839041,0.13635204049239724,0.5129788512918727,0.5017730593681335,0.552384614944458,0.055865921787709494,5.523846409055921,0.23555555555555555,2.3555555555555556,0.86,0.9317812537651569,0.6422321444890091,0.5234141536133055,0.001438434566650102
Stable reliability,0,20260821,3,0.35555555555555557,0.4,0.24444444444444444,0.6,0.6444444444444445,0.5088656538299742,0.2722222222222222,0.521455587884036,0.1511550057833282,0.9999759508874358,0.1294362818615531,0.5220325176572134,0.5019271969795227,0.5514634847640991,0.055865921787709494,5.514634988043043,0.33111111111111113,3.311111111111111,0.86,0.9317812537651569,0.6251994031797817,0.5251374190980598,0.008126130343558984
Stable reliability,0,20260821,4,0.35555555555555557,0.38333333333333336,0.2611111111111111,0.6166666666666667,0.6444444444444445,0.516502609588009,0.2388888888888889,0.5226914320385626,0.15030232286497958,0.9999574761404472,0.12626365885561097,0.5315461181371344,0.5020958185195923,0.5505215525627136,0.055865921787709494,5.50521548986435,0.4111111111111111,4.133333333333334,0.86,0.9317812537651569,0.6482822887277542,0.5274965922345285,0.0025668892946841995
Stable reliability,0,20260821,5,0.3611111111111111,0.39444444444444443,0.24444444444444444,0.6055555555555555,0.6388888888888888,0.5130149203260026,0.2777777777777778,0.5239186682627863,0.14953910950998028,0.9999384723691039,0.13746391044800244,0.5409104193797506,0.5021693110466003,0.5495901107788086,0.055865921787709494,5.495900698502859,0.48,4.822222222222222,0.86,0.9317812537651569,0.6552483848488433,0.5216386463856658,0.0049004402877127675
Stable reliability,0,20260821,6,0.3,0.3888888888888889,0.3111111111111111,0.6111111111111112,0.7,0.5083836288843748,0.24444444444444444,0.5250972811865773,0.14878579126542224,0.999926515170835,0.13601574157498164,0.549175996709264,0.5024135112762451,0.5486676692962646,0.055865921787709494,5.486676568455167,0.5377777777777778,5.411111111111111,0.86,0.9317812537651569,0.6429647375932708,0.5317334920364482,0.005255118634866452
Stable reliability,0,20260821,7,0.3055555555555556,0.37777777777777777,0.31666666666666665,0.6222222222222222,0.6944444444444444,0.5212170937614001,0.23333333333333334,0.5263041899144842,0.14803468276790044,0.9999104984096985,0.13054342741969815,0.5574832087503977,0.5025875568389893,0.547731876373291,0.055865921787709494,5.47731850279702,0.5933333333333334,5.977777777777778,0.86,0.9317812537651569,0.6508660430640996,0.5317726566066715,0.002765800505008583
Stable reliability,0,20260821,8,0.39444444444444443,0.35555555555555557,0.25,0.6444444444444444,0.6055555555555556,0.5115845394696558,0.23333333333333334,0.5274309979024624,0.1473425210470456,0.9999023695547796,0.1253110477903896,0.5637590682781315,0.5028374791145325,0.5468106269836426,0.055865921787709494,5.468106414212121,0.6411111111111111,6.477777777777778,0.86,0.9317812537651569,0.645095426418229,0.5364690334635018,0.004364690783889941
Stable reliability,0,20260821,9,0.26666666666666666,0.4222222222222222,0.3111111111111111,0.5777777777777777,0.7333333333333334,0.5192212519147474,0.2222222222222222,0.5286465353461127,0.14655498482798368,0.9998845025370732,0.12009307793668866,0.5700745458070995,0.503038763999939,0.5458712577819824,0.055865921787709494,5.4587126016616825,0.6822222222222222,6.888888888888889,0.86,0.9317812537651569,0.635350771045198,0.5357378520652605,0.004114019819636135
Stable reliability,0,20260821,10,0.3,0.40555555555555556,0.29444444444444445,0.5944444444444444,0.7,0.5113582173960591,0.2611111111111111,0.5298475384461121,0.14578654519784373,0.9998561919091704,0.1400842718857911,0.5755062061552074,0.5031321048736572,0.5449218153953552,0.055865921787709494,5.449218058586121,0.7122222222222222,7.188888888888889,0.86,0.9317812537651569,0.6383307099590737,0.5177806415253274,-0.0008686192867373067
