mode,experience_signal,metric,mean,ci_low,ci_high,n
AI-first,Better than expected,next_probability_same_route,0.4176853710785589,0.4148856786662792,0.42048506349083864,20
AI-first,Better than expected,repeat_same_route,0.41728558189468223,0.41322726416426553,0.42134389962509894,20
AI-first,Better than expected,n_events,4642.65,4602.682361453277,4682.617638546722,20
AI-first,Near expectation,next_probability_same_route,0.3945827126515007,0.39129939850774864,0.39786602679525274,20
AI-first,Near expectation,repeat_same_route,0.39699261329443314,0.38938265127190136,0.4046025753169649,20
AI-first,Near expectation,n_events,1219.55,1202.614483555026,1236.4855164449739,20
AI-first,Worse than expected,next_probability_same_route,0.37814295432931777,0.3757030697595367,0.38058283889909883,20
AI-first,Worse than expected,repeat_same_route,0.3796390510399276,0.3748296869090016,0.38444841517085365,20
AI-first,Worse than expected,n_events,4011.7,3964.6099943705244,4058.790005629475,20
Hybrid,Better than expected,next_probability_same_route,0.2903369937230671,0.28934270087390707,0.2913312865722271,20
Hybrid,Better than expected,repeat_same_route,0.29226588124525954,0.2889389763216491,0.29559278616886997,20
Hybrid,Better than expected,n_events,3251.9,3228.139506596092,3275.6604934039083,20
Hybrid,Near expectation,next_probability_same_route,0.27377986097637946,0.27175527901257307,0.27580444294018586,20
Hybrid,Near expectation,repeat_same_route,0.26716646811702993,0.2595814065650208,0.27475152966903904,20
Hybrid,Near expectation,n_events,835.55,823.4200794806977,847.6799205193022,20
Hybrid,Worse than expected,next_probability_same_route,0.25944526970605214,0.25798791207483174,0.26090262733727254,20
Hybrid,Worse than expected,repeat_same_route,0.2608171051343129,0.25682431040941045,0.2648098998592153,20
Hybrid,Worse than expected,n_events,2667.7,2642.712514738341,2692.687485261659,20
Peer-first,Better than expected,next_probability_same_route,0.41428023602574493,0.40943932750504225,0.4191211445464476,20
Peer-first,Better than expected,repeat_same_route,0.41629428539434093,0.41066062105970164,0.42192794972898023,20
Peer-first,Better than expected,n_events,4667.65,4608.753291378796,4726.546708621203,20
Peer-first,Near expectation,next_probability_same_route,0.3961560074561889,0.3923168263336187,0.3999951885787591,20
Peer-first,Near expectation,repeat_same_route,0.393213725251808,0.3855919161148655,0.40083553438875047,20
Peer-first,Near expectation,n_events,1226.05,1206.0495122074794,1246.0504877925205,20
Peer-first,Worse than expected,next_probability_same_route,0.37679931727267063,0.3719346556125485,0.38166397893279275,20
Peer-first,Worse than expected,repeat_same_route,0.37533569423340163,0.3698317897082102,0.3808395987585931,20
Peer-first,Worse than expected,n_events,3937.25,3906.031437547751,3968.468562452249,20
