scenario,step,mean_quality,sd_quality,mean_knowledge,sd_knowledge,mean_trust_ai,sd_trust_ai,mean_trust_peer,sd_trust_peer,HIRI,sd_HIRI,AMR,sd_AMR,avg_tie_strength,sd_avg_tie_strength,mean_quality_low,mean_quality_high,mean_knowledge_low,mean_knowledge_high,mean_trust_ai_low,mean_trust_ai_high,mean_trust_peer_low,mean_trust_peer_high,HIRI_low,HIRI_high,AMR_low,AMR_high,avg_tie_strength_low,avg_tie_strength_high
ai_as_complement,1,0.3408316028924441,0.04807348645799674,0.5274445541307827,0.010017409717810677,0.48876202158690346,0.02196602540071922,0.5483187886633961,0.017467525919721026,1.0,0.0,0.74,0.030179773250478416,0.9986728428720879,0.0036703749469667716,0.3197624684998868,0.36190073728500133,0.5230542307496343,0.5318348775119311,0.4791349864925704,0.4983890566812365,0.5406633078937699,0.5559742694330223,1.0,1.0,0.7267731311914145,0.7532268688085855,0.9970642301267593,1.0002814556174167
ai_as_complement,2,0.35236181411697365,0.054625165916910676,0.5379734800933357,0.009865974911794799,0.45713249214202706,0.020916299410304096,0.5176708719967295,0.01789824631030016,1.0000964101940801,0.10450593535887703,0.7537499999999999,0.04536039891219746,0.9957963845387544,0.0034361322373165264,0.32842127959957995,0.37630234863436735,0.5336495259421878,0.5422974342444835,0.447965519747468,0.4662994645365861,0.5098266196928677,0.5255151243005912,0.9542946645932091,1.0458981557949512,0.7338699286509804,0.7736300713490194,0.99429043318734,0.9973023358901688
ai_as_complement,3,0.34281179569219455,0.05890985253057247,0.5479977709560935,0.009280579026824769,0.4259718086201131,0.022409439326042835,0.4884646219967294,0.017148012418954035,0.9631694047972317,0.08059499431859722,0.7533333333333333,0.03798660890551237,0.9931126345387545,0.0034250279508618296,0.31699341447083634,0.36863017691355277,0.5439303778634839,0.5520651640487031,0.4161504388046581,0.4357931784355681,0.48094917419296224,0.4959800698004966,0.9278470911524835,0.9984917184419798,0.7366849679428381,0.7699816987238285,0.9916115498554536,0.9946137192220554
ai_as_complement,4,0.3457245200555188,0.06313556703525969,0.5582315585676463,0.008777350912764645,0.3929767786112831,0.025068659212907306,0.4592724943902976,0.017723299513599973,0.9684621898994117,0.10657551816210038,0.7787499999999999,0.043299159939449036,0.9904511762054211,0.0037857792828016336,0.31805413779650704,0.37339490231453054,0.5543847149201973,0.5620784022150953,0.38198995429473503,0.4039636029278312,0.4515049159006899,0.4670400728799053,0.9217534096432586,1.0151709701555647,0.7597733064613241,0.7977266935386758,0.9887919852798868,0.9921103671309555
ai_as_complement,5,0.34016824504527116,0.05820256206568668,0.5682998568567299,0.008822230485365826,0.3593589748145586,0.028711611561799855,0.4292670272120773,0.01916104861792747,0.970352773506983,0.10630092243552224,0.7754166666666666,0.04227408134089228,0.983353051205421,0.004354964261884801,0.31465984753754006,0.36567664255300225,0.564433343869354,0.5721663698441058,0.34677555623619094,0.37194239339292623,0.4208693273950239,0.43766472702913073,0.923764340134178,1.016941206879788,0.7568892336320069,0.7939440997013264,0.9814444039641064,0.9852616984467357
ai_as_complement,6,0.3351122468693515,0.056182060331268234,0.5784180772665917,0.008175275205269731,0.32527309177489594,0.0287436815203726,0.3989360752257653,0.019456540836447683,0.9822219242587623,0.10663248007910933,0.7833333333333333,0.03493937941518322,0.976194926205421,0.004510546672109937,0.3104893732900763,0.35973512044862666,0.5748351049322163,0.582001049600967,0.31267561791747706,0.3378705656323148,0.39040887023397497,0.4074632802175556,0.9354881793417713,1.0289556691757533,0.7680204751503881,0.7986461915162786,0.9742180919664145,0.9781717604444276
ai_as_complement,7,0.33085348260153036,0.05409521680757749,0.5881221119094858,0.008446284891835238,0.291323989880942,0.030470802627651734,0.36951444731197286,0.02121519362327073,0.9381687694410361,0.09144411058734041,0.7783333333333333,0.04139384365334613,0.9689815928720877,0.004901612909323005,0.3071452085218212,0.3545617566812395,0.5844203643430931,0.5918238594758786,0.27796957182407794,0.30467840793780604,0.360216478752872,0.3788124158710737,0.8980916209476371,0.9782459179344352,0.7601916814745928,0.7964749851920738,0.9668333662978189,0.9711298194463566
ai_as_complement,8,0.33799536864047897,0.0652124417949484,0.5983993352283672,0.008701412692720945,0.26082781739957717,0.033209393236739604,0.3408486175021759,0.021626687515253512,0.9700365015771105,0.06599222030097227,0.7658333333333334,0.0283436513720342,0.9620957595387545,0.005166087696918184,0.3094147558853574,0.36657598139560055,0.5945857729732513,0.6022128974834831,0.24627315908887834,0.27538247571027596,0.3313703037933743,0.35032693121097747,0.9411141358236038,0.9989588673306172,0.7534111804184423,0.7782554862482244,0.9598316217782198,0.9643598972992892
ai_as_complement,9,0.32646346902469403,0.04448628066499136,0.608183335301238,0.00878284014831502,0.22971776600909988,0.03468715960453464,0.3112729370198496,0.022230840810819687,0.9491467125070248,0.09958400035548082,0.7670833333333333,0.04157665716544118,0.9547382595387545,0.005437022601192775,0.3069664968886152,0.34596044116077285,0.6043340858902373,0.6120325847122388,0.21451544803196354,0.24492008398623621,0.3015298414548556,0.32101603258484357,0.905502100030846,0.9927913249832035,0.7488615599203038,0.7853051067463629,0.9523553793209864,0.9571211397565226
ai_as_complement,10,0.3325536958851977,0.0555718077217762,0.6181812424771626,0.008465795218634766,0.20061319593275098,0.03528451904254101,0.2830316810704779,0.023012929311803397,0.9493943492128629,0.09625001693427737,0.7833333333333333,0.04675117661214402,0.947651801205421,0.0054972220511863325,0.3081982773043036,0.35690911446609175,0.6144709441330404,0.6218915408212847,0.1851490736387795,0.21607731822672246,0.2729458201071703,0.2931175420337855,0.9072109193955551,0.9915777790301707,0.7628437267824942,0.8038229398841724,0.9452425374154237,0.9500610649954183
