replication,mode,experience_signal,next_probability_same_route,repeat_same_route,n_events
6,AI-first,Better than expected,0.4159844143072409,0.4004319654427646,4630
6,AI-first,Near expectation,0.3949659073941175,0.4034229828850856,1227
6,AI-first,Worse than expected,0.3743260060001926,0.38097647356438147,3953
6,Hybrid,Better than expected,0.2920400531967537,0.3005728067530901,3317
6,Hybrid,Near expectation,0.27373534950932804,0.2755344418052256,842
6,Hybrid,Worse than expected,0.2614871402910636,0.2707554225878833,2674
6,Peer-first,Better than expected,0.4155185549183224,0.41798941798941797,4725
6,Peer-first,Near expectation,0.3958040285441648,0.391304347826087,1196
6,Peer-first,Worse than expected,0.37278056365928336,0.37448665297741274,3896
7,AI-first,Better than expected,0.41199705981276924,0.41342369916921734,4574
7,AI-first,Near expectation,0.39003265131012627,0.3946917808219178,1168
7,AI-first,Worse than expected,0.37421973863696684,0.37011669203450026,3942
7,Hybrid,Better than expected,0.29254062042705536,0.28139463128663994,3241
7,Hybrid,Near expectation,0.28552829621451326,0.28080568720379145,844
7,Hybrid,Worse than expected,0.2633951398556814,0.26566507878343715,2729
7,Peer-first,Better than expected,0.4201720269776382,0.4262083780880773,4655
7,Peer-first,Near expectation,0.39467211489371756,0.3970125786163522,1272
7,Peer-first,Worse than expected,0.3811005692537305,0.3903345724907063,4035
8,AI-first,Better than expected,0.41368994908356266,0.4193199047000217,4617
8,AI-first,Near expectation,0.3911860573679362,0.3940129449838188,1236
8,AI-first,Worse than expected,0.3746938710679211,0.3777721131786898,3923
8,Hybrid,Better than expected,0.2934049721677486,0.2922016911994989,3193
8,Hybrid,Near expectation,0.274084862903287,0.2694541231126597,861
8,Hybrid,Worse than expected,0.2613606601480375,0.25275560623337134,2631
8,Peer-first,Better than expected,0.41778858094000354,0.43422972691265377,4797
8,Peer-first,Near expectation,0.3962883536559065,0.38783894823336074,1217
8,Peer-first,Worse than expected,0.37825464182918717,0.38042659974905896,3985
9,AI-first,Better than expected,0.41916673476269034,0.42123070416578556,4729
9,AI-first,Near expectation,0.3972704663360232,0.38189655172413794,1160
9,AI-first,Worse than expected,0.3789055617673161,0.3847105393369619,4042
9,Hybrid,Better than expected,0.2896192488073619,0.2898773006134969,3260
9,Hybrid,Near expectation,0.27317408040045776,0.2811764705882353,850
9,Hybrid,Worse than expected,0.25995450381530266,0.2546224961479199,2596
9,Peer-first,Better than expected,0.4079737973175766,0.40344901000638705,4697
9,Peer-first,Near expectation,0.3893966935873828,0.3826955074875208,1202
9,Peer-first,Worse than expected,0.37887848413333913,0.37996941896024466,3924
10,AI-first,Better than expected,0.4206356942260888,0.42170779646210965,4579
10,AI-first,Near expectation,0.39577170458029237,0.4185861795075457,1259
10,AI-first,Worse than expected,0.378355179886327,0.372291210129048,4107
10,Hybrid,Better than expected,0.29163676566837937,0.2896615957777088,3221
10,Hybrid,Near expectation,0.28127908794347023,0.2632794457274827,866
10,Hybrid,Worse than expected,0.2558781358864398,0.26260428001450853,2757
10,Peer-first,Better than expected,0.39706364047775017,0.40089385474860334,4475
10,Peer-first,Near expectation,0.3846309432675961,0.4075286415711948,1222
10,Peer-first,Worse than expected,0.3613853994369229,0.3568193256165073,3974
11,AI-first,Better than expected,0.410646975400213,0.41232227488151657,4642
11,AI-first,Near expectation,0.3938691489824681,0.4230132450331126,1208
11,AI-first,Worse than expected,0.37147053680224973,0.36886075949367086,3950
11,Hybrid,Better than expected,0.28939146734374993,0.2986854173035769,3271
11,Hybrid,Near expectation,0.27141874953698264,0.2779740871613663,849
11,Hybrid,Worse than expected,0.2586455934635157,0.2455542943624669,2643
11,Peer-first,Better than expected,0.423708893458861,0.4188436830835118,4670
11,Peer-first,Near expectation,0.3892960972441951,0.39357429718875503,1245
11,Peer-first,Worse than expected,0.38532182790631103,0.37167252636865894,3982
12,AI-first,Better than expected,0.4244682161600719,0.42002107481559536,4745
12,AI-first,Near expectation,0.38858981979162094,0.37448559670781895,1215
12,AI-first,Worse than expected,0.3833317990159425,0.384788029925187,4010
12,Hybrid,Better than expected,0.28938000541078335,0.28205900060204697,3322
12,Hybrid,Near expectation,0.27686962279951755,0.2532239155920281,853
12,Hybrid,Worse than expected,0.2596567329775137,0.27300850734725446,2586
12,Peer-first,Better than expected,0.41150035333312673,0.40943518718892014,4621
12,Peer-first,Near expectation,0.3951738875390514,0.4047039740470397,1233
12,Peer-first,Worse than expected,0.3765348557948201,0.3726451612903226,3875
13,AI-first,Better than expected,0.41741517197266975,0.4084567503756171,4659
13,AI-first,Near expectation,0.40426859051776065,0.39120188531029065,1273
13,AI-first,Worse than expected,0.38170446315342493,0.39751079502159004,3937
13,Hybrid,Better than expected,0.2893079339482558,0.29721362229102166,3230
13,Hybrid,Near expectation,0.26848511898827804,0.23634204275534443,842
13,Hybrid,Worse than expected,0.25855892579109924,0.26005361930294907,2611
13,Peer-first,Better than expected,0.42137165451364583,0.4154929577464789,4686
13,Peer-first,Near expectation,0.4076252118982273,0.40625,1248
13,Peer-first,Worse than expected,0.37869651291798945,0.39154504277805735,3974
14,AI-first,Better than expected,0.4168283435917111,0.4169717854835236,4643
14,AI-first,Near expectation,0.3897766018517729,0.41205211726384366,1228
14,AI-first,Worse than expected,0.3777458734620096,0.385272681578286,3979
14,Hybrid,Better than expected,0.2929662467174166,0.2981347773766546,3324
14,Hybrid,Near expectation,0.2746154642865368,0.28087167070217917,826
14,Hybrid,Worse than expected,0.26370395237296884,0.2627055306427504,2676
14,Peer-first,Better than expected,0.4128105016377635,0.407455289808231,4641
14,Peer-first,Near expectation,0.3976160204612096,0.3963170536429143,1249
14,Peer-first,Worse than expected,0.38108049963375223,0.3728813559322034,3894
15,AI-first,Better than expected,0.4201031438237857,0.4127084652733798,4737
15,AI-first,Near expectation,0.3959490173787773,0.40228945216680295,1223
15,AI-first,Worse than expected,0.3824443807686249,0.3924297924297924,4095
15,Hybrid,Better than expected,0.2932092684639733,0.2989280245022971,3265
15,Hybrid,Near expectation,0.2752694366688552,0.24334140435835352,826
15,Hybrid,Worse than expected,0.2628473289215631,0.2644808743169399,2745
15,Peer-first,Better than expected,0.40728169671035236,0.4130915524104379,4522
15,Peer-first,Near expectation,0.39229533440594216,0.3641025641025641,1170
15,Peer-first,Worse than expected,0.36281249349118305,0.3657467113747743,3877
16,AI-first,Better than expected,0.4132886126580872,0.413984461709212,4505
16,AI-first,Near expectation,0.39200155576907336,0.37872340425531914,1175
16,AI-first,Worse than expected,0.3766046155497082,0.37425149700598803,4008
16,Hybrid,Better than expected,0.2883893783661144,0.2909860859044162,3306
16,Hybrid,Near expectation,0.2749948829961549,0.29102564102564105,780
16,Hybrid,Worse than expected,0.2557019736324848,0.25241635687732344,2690
16,Peer-first,Better than expected,0.41978343956953607,0.4219701743331233,4761
16,Peer-first,Near expectation,0.4067698841638366,0.398538961038961,1232
16,Peer-first,Worse than expected,0.3958408374024206,0.3907069697726705,4003
17,AI-first,Better than expected,0.43188809898136005,0.4384583506009117,4826
17,AI-first,Near expectation,0.4095200871138395,0.42063492063492064,1260
17,AI-first,Worse than expected,0.3901221524345263,0.4022280161175634,4219
17,Hybrid,Better than expected,0.2877153481484114,0.28308259134172553,3257
