system,replication,seed,episode,peer_share,ai_share,hybrid_share,human_interaction_rate,ai_use_rate,mean_quality,success_rate,mean_knowledge,knowledge_gini,knowledge_rank_corr_with_initial,performance_gini,mean_ai_trust,mean_peer_trust,mean_tie_strength,network_density,mean_weighted_degree,recent_active_tie_fraction,mean_unique_peer_partners,ai_reliability,mean_ai_availability_probability,mean_ai_source_quality,mean_peer_source_quality,mean_peer_marginal
AI-enabled,0,20260821,1,0.3888888888888889,0.37222222222222223,0.2388888888888889,0.6277777777777778,0.6111111111111112,0.49923516571411497,0.17777777777777778,0.5189862405917881,0.15272252760714022,0.999994495945012,0.1285600235427431,0.4978000360563003,0.5015789866447449,0.5533249974250793,0.055865921787709494,5.533249757024977,0.12111111111111111,1.211111111111111,0.78,0.9140966130400551,0.5997821763823948,0.5352485580200174,0.007499441977647208
AI-enabled,0,20260821,2,0.34444444444444444,0.37777777777777777,0.2777777777777778,0.6222222222222222,0.6555555555555556,0.5029296986527563,0.22777777777777777,0.5201193634799026,0.15191892104513305,0.9999880014019015,0.13552984947821112,0.5058113739940715,0.5017006993293762,0.5523902773857117,0.055865921787709494,5.523902718226115,0.23222222222222222,2.3222222222222224,0.78,0.9140966130400551,0.5980706150705996,0.5209255528643616,0.005163094852513878
AI-enabled,0,20260821,3,0.3333333333333333,0.37222222222222223,0.29444444444444445,0.6277777777777778,0.6666666666666667,0.5015955103821634,0.23333333333333334,0.521221652293388,0.15114210091792102,0.9999776952273677,0.13704489735150216,0.5140383181764784,0.5019173622131348,0.5514630079269409,0.055865921787709494,5.514629766676161,0.32666666666666666,3.2777777777777777,0.78,0.9140966130400551,0.5991826286814756,0.5322027068769766,0.005731055380607363
AI-enabled,0,20260821,4,0.35,0.38333333333333336,0.26666666666666666,0.6166666666666667,0.65,0.5030624227950293,0.24444444444444444,0.5223086664849425,0.15041914390145505,0.9999640647607154,0.1348652078824315,0.5204358040041359,0.5020265579223633,0.5505362749099731,0.055865921787709494,5.5053630868593855,0.41333333333333333,4.144444444444445,0.78,0.9140966130400551,0.5971534472249908,0.5180302313114239,0.006264096636226786
AI-enabled,0,20260821,5,0.3,0.45,0.25,0.55,0.7,0.5015237453255128,0.2611111111111111,0.523477572756089,0.149659600860796,0.9999423939075537,0.1356464990608548,0.5272254467933695,0.50205397605896,0.5495863556861877,0.055865921787709494,5.495863484011756,0.4711111111111111,4.722222222222222,0.78,0.9140966130400551,0.5983009985157898,0.5188246912420741,0.005118951830206279
AI-enabled,0,20260821,6,0.3111111111111111,0.4222222222222222,0.26666666666666666,0.5777777777777777,0.6888888888888889,0.5194492988297245,0.2611111111111111,0.5246026242404562,0.14894192745820956,0.9999251571813088,0.1250813498141461,0.5323090514068411,0.5021809935569763,0.5486639142036438,0.055865921787709494,5.486639585759905,0.5322222222222223,5.344444444444444,0.78,0.9140966130400551,0.5877276924163277,0.5249914642263754,0.009736893622937478
AI-enabled,0,20260821,7,0.3277777777777778,0.4166666666666667,0.25555555555555554,0.5833333333333333,0.6722222222222223,0.5077538766281179,0.22777777777777777,0.5256609538844512,0.1482624617476056,0.9999151751130683,0.13002135034275075,0.5362311686337359,0.5024020075798035,0.5477449297904968,0.055865921787709494,5.477449338965946,0.5855555555555556,5.877777777777778,0.78,0.9140966130400551,0.5843201174593324,0.5410357690677068,0.009131313721762015
AI-enabled,0,20260821,8,0.38333333333333336,0.3277777777777778,0.28888888888888886,0.6722222222222223,0.6166666666666667,0.5028521274807973,0.2388888888888889,0.526725254458166,0.1475456081079316,0.9999019126409249,0.14051952508852916,0.5405605221664173,0.5026450157165527,0.5468453764915466,0.055865921787709494,5.468453800678253,0.6366666666666667,6.411111111111111,0.78,0.9140966130400551,0.5940570487778193,0.533958267127792,0.008537230214051294
AI-enabled,0,20260821,9,0.31666666666666665,0.43333333333333335,0.25,0.5666666666666667,0.6833333333333333,0.5089709757901533,0.25,0.5277986777821928,0.14683659444359076,0.9998825932401493,0.14205569759922398,0.5434721292679551,0.50287926197052,0.5456827878952026,0.05592799503414029,5.462891042232513,0.6681465038845728,6.733333333333333,0.78,0.9140966130400551,0.577238163705523,0.5441689314109367,0.006018392200057083
AI-enabled,0,20260821,10,0.40555555555555556,0.36666666666666664,0.22777777777777777,0.6333333333333333,0.5944444444444444,0.5099290451924182,0.22777777777777777,0.528862971904371,0.14617545712741098,0.9998641121675685,0.1297476301070173,0.5479031937549439,0.5029073357582092,0.5447742938995361,0.05592799503414029,5.453795793321397,0.7136514983351832,7.188888888888889,0.78,0.9140966130400551,0.6044052391434196,0.5153112253550064,0.006770677680543188
AI-enabled,0,20260821,11,0.35555555555555557,0.40555555555555556,0.2388888888888889,0.5944444444444444,0.6444444444444445,0.5051857635189768,0.2,0.5299127451874306,0.14551647251928745,0.9998463918637241,0.12203223161761256,0.5515914573361873,0.5030826330184937,0.5438493490219116,0.05592799503414029,5.4445360130733915,0.7480577136514983,7.555555555555555,0.78,0.9140966130400551,0.5969361280050988,0.5243180673847289,0.005505866637740156
AI-enabled,0,20260821,12,0.3388888888888889,0.4111111111111111,0.25,0.5888888888888889,0.6611111111111111,0.5075460187726467,0.21666666666666667,0.5310152599970831,0.14481692907815025,0.9998305354390925,0.12625531608286789,0.5549543421525235,0.5032550096511841,0.5429485440254211,0.05592799503414029,5.435518242253197,0.7691453940066593,7.766666666666667,0.78,0.9140966130400551,0.5976923790423062,0.5328651129014856,0.01002355000648869
