task_type,mode,metric,mean,ci_low,ci_high,n
Contextual,AI-first,share,0.3609268903140566,0.3580219145590921,0.3638318660690211,20
Contextual,Hybrid,share,0.2559187006466509,0.2539120839968569,0.2579253172964449,20
Contextual,Peer-first,share,0.38315440903929243,0.37972356650922223,0.38658525156936263,20
Integrative,AI-first,share,0.3726381466538306,0.36872547388873034,0.37655081941893087,20
Integrative,Hybrid,share,0.25539850729032204,0.2532703141695531,0.257526700411091,20
Integrative,Peer-first,share,0.37196334605584735,0.3673125140527679,0.37661417805892683,20
Structured,AI-first,share,0.38490016462346194,0.3807209993723469,0.389079329874577,20
Structured,Hybrid,share,0.25417183049389935,0.25212714376833756,0.25621651721946115,20
Structured,Peer-first,share,0.3609280048826387,0.3569668559443827,0.3648891538208947,20
