shock_condition,metric,mean,ci_low,ci_high,n
Persistent drop,final_peer_share,0.44811851851851847,0.4449066913478591,0.45133034568917785,30
Persistent drop,final_ai_share,0.29477037037037035,0.29206870080620445,0.29747203993453625,30
Persistent drop,final_hybrid_share,0.25711111111111107,0.2539324052808229,0.26028981694139924,30
Persistent drop,final_human_interaction_rate,0.7052296296296297,0.7025279600654638,0.7079312991937955,30
Persistent drop,final_ai_use_rate,0.5518814814814815,0.5486696543108222,0.5550933086521409,30
Persistent drop,final_mean_quality,0.5774305767611292,0.5751876535580233,0.5796734999642351,30
Persistent drop,final_success_rate,0.39798518518518505,0.39166797681771903,0.4043023935526511,30
Persistent drop,final_mean_knowledge,0.6457155840023948,0.6426933645285542,0.6487378034762354,30
Persistent drop,final_knowledge_gini,0.08287773089727125,0.08124553109720042,0.08450993069734208,30
Persistent drop,final_knowledge_rank_corr_with_initial,0.9911500890534967,0.9906299983418504,0.9916701797651429,30
Persistent drop,final_performance_gini,0.10584387641506314,0.10510702717450476,0.10658072565562152,30
Persistent drop,final_mean_ai_trust,0.4110576418818017,0.4106839472958794,0.411431336467724,30
Persistent drop,final_mean_peer_trust,0.5676832985083261,0.5657552762595707,0.5696113207570815,30
Persistent drop,final_mean_tie_strength,0.4358183192014694,0.4347730004320448,0.436863637970894,30
Persistent drop,final_network_density,0.05711963583695422,0.05701507549167642,0.057224196182232026,30
Persistent drop,final_mean_weighted_degree,4.455845960346858,4.445823919275225,4.4658680014184915,30
Persistent drop,final_recent_active_tie_fraction,0.9313287779110732,0.9295763782114176,0.9330811776107287,30
Persistent drop,final_mean_unique_peer_partners,10.638962962962962,10.608355054279823,10.669570871646101,30
Persistent drop,final_mean_peer_marginal,0.01346528603625311,0.013214366360651757,0.013716205711854463,30
Persistent drop,final_mean_ai_availability_probability,0.9307783963404912,0.9300794075658874,0.931477385115095,30
Persistent drop,edge_retention_ratio,1.0,1.0,1.0,30
Persistent drop,edge_count_ratio,1.024888888888889,1.02290778903858,1.0268699887391979,30
Persistent drop,new_edge_ratio,0.024888888888888853,0.022907789038579898,0.026869988739197808,30
Persistent drop,strong_tie_fraction,0.6374023235019913,0.6304679404035155,0.6443367066004672,30
Stable reliability,final_peer_share,0.35305185185185184,0.34948878074943895,0.3566149229542647,30
Stable reliability,final_ai_share,0.3919851851851852,0.38767644081527775,0.3962939295550927,30
Stable reliability,final_hybrid_share,0.25496296296296295,0.2524444463602205,0.2574814795657054,30
Stable reliability,final_human_interaction_rate,0.6080148148148148,0.6037060704449073,0.6123235591847223,30
Stable reliability,final_ai_use_rate,0.646948148148148,0.6433850770457351,0.650511219250561,30
Stable reliability,final_mean_quality,0.6042816313027525,0.6023200737281281,0.6062431888773768,30
Stable reliability,final_success_rate,0.47105925925925923,0.4649096577900356,0.47720886072848284,30
Stable reliability,final_mean_knowledge,0.65975872099524,0.6569740524992548,0.6625433894912253,30
Stable reliability,final_knowledge_gini,0.07488491111115848,0.07336594503941328,0.07640387718290369,30
