replication,seed,agent,initial_knowledge,initial_skill_dim1,initial_skill_dim2,initial_skill_dim3,ai_literacy,sociability,verification,initial_confidence,ai_access,final_knowledge,final_skill_dim1,final_skill_dim2,final_skill_dim3,knowledge_gain,final_confidence,final_ai_trust,final_mean_peer_trust,final_weighted_degree,unique_peer_partners,peer_share,ai_share,hybrid_share,mean_quality,success_rate
0,20260821,0,0.8794719238346244,0.9247409784251172,0.8777057942001775,0.8359689988785785,0.5672605880469247,0.3866429302422001,0.5976857315049249,0.3893669683916282,0.7884668012251892,0.9093700485111113,0.9463996937830997,0.9129951105710309,0.8687153411792032,0.029898124676486892,0.7404684188454854,0.586008665632656,0.6481794118881226,4.201992034912109,10,0.3466666666666667,0.46,0.19333333333333333,0.7454167145491782,0.9
0,20260821,1,0.5094223484732735,0.24035272232415808,0.3744333810323415,0.9134809420633209,0.49310700322009254,0.5680756800838517,0.4177629586631169,0.40987433003337104,0.8019758742548386,0.6877690888668854,0.5805543016245982,0.5552840448248969,0.9274689201511611,0.17834674039361187,0.5809571515222072,0.5899720751583503,0.5647181868553162,4.365691184997559,10,0.24,0.4266666666666667,0.3333333333333333,0.5456479175999953,0.3333333333333333
0,20260821,2,0.7236228490264477,0.725557184191221,0.5392997164966468,0.9060116463914754,0.4207313855578326,0.44104997463020507,0.4244752895225243,0.2672319624854165,0.7432641611914133,0.7994920436664749,0.8029577044595135,0.6743886501945299,0.9211297763453813,0.07586919464002717,0.6552664971093148,0.6020969525888152,0.5998045206069946,4.175079822540283,11,0.32666666666666666,0.44666666666666666,0.22666666666666666,0.6461845989488276,0.6333333333333333
0,20260821,3,0.5159660142123584,0.49966598450347666,0.5344344406866507,0.513797617446948,0.3445022985997429,0.5608351763814536,0.7374826149905234,0.25890669771892527,0.6640223564389177,0.6573339666749441,0.6919245441231755,0.6624604792190726,0.6176168766825846,0.1413679524625857,0.5910162820756145,0.6258255036050425,0.5886023640632629,4.284974098205566,10,0.4,0.3466666666666667,0.25333333333333335,0.5538579042783767,0.30666666666666664
0,20260821,4,0.6315733254360612,0.661984584870108,0.6353032309762527,0.5974321604618227,0.4071726264704938,0.6675318784924532,0.5918901772593589,0.6494675500139305,0.40200209800219877,0.7459390849598031,0.7858441096603141,0.7627089928978011,0.6892641523212938,0.11436575952374195,0.6414216780153894,0.5600354466836632,0.6252340078353882,4.540842533111572,13,0.47333333333333333,0.26,0.26666666666666666,0.6280068098943334,0.49333333333333335
0,20260821,5,0.3438878386069475,0.25711515773918325,0.2640635734152162,0.5104847846664431,0.32961309770339897,0.5688425900798839,0.3418468384614002,0.6759319711068164,0.6804920592920998,0.5420218509308968,0.5313679301763657,0.4946835247060612,0.6000140979102635,0.19813401232394934,0.49831594267400997,0.5833582878529936,0.5579047799110413,4.477260589599609,11,0.38,0.4,0.22,0.45293684045050675,0.1
0,20260821,6,0.16212561016301388,0.06,0.09805483860179373,0.328321991887248,0.34173825648123246,0.8723757351080592,0.4566637122297748,0.4402765278834674,0.901552895263809,0.4336073929150432,0.4169311386673531,0.38974258286206453,0.49414845721571193,0.2714817827520293,0.42886892337409105,0.6102397735485515,0.5118809342384338,4.80311393737793,11,0.4066666666666667,0.34,0.25333333333333335,0.3795827476764493,0.04
0,20260821,7,0.557042611512144,0.4705377189093595,0.7606833346930857,0.4399067809339866,0.4522548875357604,0.5749456721628842,0.5598484512163843,0.5355922525695541,0.6146025031029115,0.6982515608447244,0.7041310421015671,0.8151684166828941,0.5754552237497118,0.14120894933258044,0.621366319819658,0.6059688557357934,0.5909138321876526,5.3249125480651855,13,0.35333333333333333,0.44,0.20666666666666667,0.5900563581053996,0.4266666666666667
0,20260821,8,0.7947198962345832,0.85740428850713,0.9378087630074625,0.5889466371891572,0.580573446355027,0.3740926260705496,0.6342662833263111,0.6151823028016741,0.8590005442264912,0.845200858810061,0.9028132575671238,0.9539467408675093,0.67884257799555,0.05048096257547785,0.7516588342570151,0.613348059396442,0.6310508251190186,4.757340431213379,12,0.43333333333333335,0.48,0.08666666666666667,0.7270704655413522,0.8533333333333334
0,20260821,9,0.710925469362525,0.7070216803606678,0.8370266714115321,0.5887280563153752,0.6822421282974374,0.6491630919774903,0.6387549689673931,0.5244987105774467,0.43044885076665323,0.7863110815399862,0.8039097800975451,0.8834497387623832,0.67157372576003,0.0753856121774612,0.6773335153130592,0.607249622558747,0.6176616549491882,4.826086044311523,11,0.3933333333333333,0.30666666666666664,0.3,0.6698080048216947,0.6466666666666666
