factor,level,value,replication,final_mean_quality,final_HIRI,final_mean_trust_peer,final_gini_performance
ai_convenience,base,0.72,1,0.29731496216775916,0.875,0.07297460136757675,0.10752948770682723
ai_convenience,base,0.72,2,0.3244447260034848,1.08,0.04029233742979176,0.08632089058868887
ai_convenience,base,0.72,3,0.4529316385187683,0.9176470588235294,0.09184653829123096,0.0975754816985524
ai_convenience,base,0.72,4,0.4044427936985347,0.8690476190476191,0.017708333333333333,0.08596676093573567
ai_convenience,base,0.72,5,0.42999372907443006,0.7692307692307693,0.04044391836925009,0.09404413843740697
ai_convenience,high,0.95,0,0.2580376169425826,0.875,0.019285815007992084,0.07650776276911718
ai_convenience,high,0.95,1,0.36963982185025485,0.8765432098765432,0.04614739199573659,0.0989670107644046
ai_convenience,high,0.95,2,0.39627859516119235,0.8860759493670886,0.039064679872707266,0.09453752081481018
ai_convenience,high,0.95,3,0.25614284625546596,0.9324324324324325,0.04867383831625765,0.09582652419306914
ai_convenience,high,0.95,4,0.3519824633356646,0.8051948051948052,0.03950384199775433,0.08962832434101435
ai_convenience,high,0.95,5,0.44739864681157365,0.9102564102564102,0.05515701129604647,0.09819178241925292
verification_strength,low,0.3,0,0.3491308736049117,0.8395061728395061,0.03301826809456187,0.0885049897914531
verification_strength,low,0.3,1,0.3239060261602499,1.0895522388059702,0.05165053940285515,0.0889027045356175
verification_strength,low,0.3,2,0.35938231988511654,0.9367088607594937,0.05272934247597238,0.09969879447452457
verification_strength,low,0.3,3,0.2942714102309723,0.8205128205128205,0.013773002756901227,0.08706029084270556
verification_strength,low,0.3,4,0.2677146756712034,0.8026315789473685,0.0635457905508675,0.09944697283684426
verification_strength,low,0.3,5,0.26929591694458205,0.8354430379746836,0.023915765866900394,0.09094115978959502
verification_strength,base,0.8,0,0.4073799777087241,1.0,0.023875,0.08351060619936136
verification_strength,base,0.8,1,0.41136569150713065,0.9459459459459459,0.1504718374037588,0.1018070547082162
verification_strength,base,0.8,2,0.3984915740716731,1.0263157894736843,0.04813256771385586,0.0915108576957553
verification_strength,base,0.8,3,0.36484758415594976,0.9871794871794872,0.03452595352269063,0.09363970913714444
verification_strength,base,0.8,4,0.3336684788911925,0.9195402298850575,0.028548891941052812,0.08894779959748006
verification_strength,base,0.8,5,0.26555648142289756,0.8313253012048193,0.020954095374865634,0.07813173335028507
verification_strength,high,1.0,0,0.3397244094689492,0.9605263157894737,0.03003548089394119,0.0830864591435284
verification_strength,high,1.0,1,0.3022616878137064,0.8604651162790697,0.035156523389364404,0.08477811304773092
verification_strength,high,1.0,2,0.3262972810892463,0.7804878048780488,0.029583333333333333,0.08579993295156536
verification_strength,high,1.0,3,0.3507833027742489,0.891566265060241,0.022833333333333334,0.0761709243307884
verification_strength,high,1.0,4,0.27576020959849334,1.0757575757575757,0.057911160573060665,0.09339315962430668
verification_strength,high,1.0,5,0.35307407254850526,0.8390804597701149,0.04841618628978449,0.09237829878440584
network_density,low,0.03,0,0.4127328396167452,1.0405405405405406,0.027161602803025722,0.0847320448279373
network_density,low,0.03,1,0.39796836552260084,0.8181818181818182,0.036775459101852565,0.08120176301126843
network_density,low,0.03,2,0.32308442380389313,0.974025974025974,0.044035296288775366,0.09457329504687137
network_density,low,0.03,3,0.2926267259009158,1.0410958904109588,0.043453580829060874,0.09300307491362376
network_density,low,0.03,4,0.4418788027963379,0.8433734939759037,0.08111076116157163,0.08900193280323633
network_density,low,0.03,5,0.36689755608540947,0.9876543209876543,0.04695692546786097,0.09691645899249034
network_density,base,0.06,0,0.40995357187865217,0.963855421686747,0.08587435450677616,0.10059971460368654
network_density,base,0.06,1,0.26899629413154796,0.963855421686747,0.012916666666666668,0.07490942519291219
network_density,base,0.06,2,0.37496404379664255,0.85,0.030870513431338002,0.09515072523332405
network_density,base,0.06,3,0.3684952049264323,0.8539325842696629,0.041123172398645644,0.08603410360424432
network_density,base,0.06,4,0.3572780147008822,1.0,0.050447038594514826,0.1005874608083935
network_density,base,0.06,5,0.4007176633450025,1.0,0.035095553216376404,0.0837220998269736
network_density,high,0.1,0,0.42249637160575515,1.0632911392405062,0.03040164046100709,0.07123997663306271
network_density,high,0.1,1,0.42686026655526027,0.9880952380952381,0.061384954493608083,0.09303786150360885
network_density,high,0.1,2,0.2801047688466642,0.9615384615384616,0.03393030375995374,0.08103337895541385
network_density,high,0.1,3,0.4493484612733034,1.0263157894736843,0.07425438370748844,0.09070832774999167
network_density,high,0.1,4,0.3301097886158851,0.7613636363636364,0.020375,0.08758585137007878
network_density,high,0.1,5,0.2610753954741261,0.7191011235955056,0.017889626177893657,0.08685475085228202
