condition,ai_access_mean,ai_reliability,verification_support,peer_response_probability,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,10,20270911,0.5313333333333334,0.2635555555555556,0.2051111111111111,0.7364444444444445,0.4686666666666667,0.5486863710801783,0.3257777777777778,0.6068650440747492,0.08694443114557232,0.9937647859085729,0.11238747085457663,0.4501771744413448,0.5465524911880493,0.44096734285354616,0.0580310366232154,4.580431043730841,0.9331655771778999,11.238222222222221,0.011923961165716496,0.8449100188276855,900,940,1.0,1.0444444444444445,0.044444444444444446,0.6563829787234042,0.5546082854270935,0.6156683645128626,0.08392420191150629,10.347009658813477
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,11,20271920,0.5315555555555556,0.2464444444444444,0.22200000000000003,0.7535555555555555,0.46844444444444444,0.5699851717192679,0.38622222222222213,0.6337000171239586,0.09602400343883893,0.9942214720439317,0.11277673595831743,0.4503797993395662,0.5636628174781799,0.43819732308387754,0.05816014897579144,4.561761314339108,0.9401093160208944,11.108888888888886,0.012828851062323083,0.8517861613993368,900,942,1.0,1.0466666666666666,0.04666666666666667,0.6518046709129511,0.5484080910682678,0.6423029656326589,0.09274105190045923,10.237045764923096
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,12,20272929,0.5428888888888889,0.24555555555555558,0.21155555555555558,0.7544444444444445,0.45711111111111113,0.5750171931509145,0.40088888888888896,0.6353197892358801,0.08717504191258663,0.9915977294878425,0.10717442952304318,0.45182481637101696,0.5669868206977844,0.4381316900253296,0.05839851024208567,4.579819360044268,0.9385971950488178,11.140444444444443,0.013120179473851303,0.8487366338826942,900,944,1.0,1.048888888888889,0.04888888888888889,0.6451271186440678,0.5489266514778137,0.6440229238081912,0.08401683377594771,10.745870351791382
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,13,20273938,0.5293333333333333,0.24044444444444443,0.23022222222222222,0.7595555555555555,0.4706666666666666,0.567863593536719,0.3753333333333334,0.6277314631031141,0.09311087468149626,0.9946734282866493,0.11119701666003586,0.4502176506108054,0.5613653063774109,0.4428083527088165,0.05803848541278709,4.600021374013689,0.945760814016882,11.132444444444443,0.013290228775282615,0.8459999020177195,900,942,1.0,1.0466666666666666,0.04666666666666667,0.6794055201698513,0.5540245175361633,0.6364368426843032,0.08983557263886133,10.403650999069214
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,14,20274947,0.5375555555555556,0.24355555555555558,0.21888888888888888,0.7564444444444446,0.4624444444444444,0.5680645783870172,0.3731111111111111,0.6337556712442626,0.09236942077125683,0.9950229273235774,0.11069804138952744,0.4507564247075296,0.5639174151420593,0.4359981048107147,0.05792923649906891,4.520941771931118,0.9446616043780645,10.964,0.012707717257537682,0.8535587045651607,900,935,1.0,1.038888888888889,0.03888888888888889,0.6331550802139038,0.544682502746582,0.6422883974195277,0.0892426395352921,11.597412347793579
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,15,20275956,0.5304444444444445,0.24577777777777776,0.22377777777777777,0.7542222222222223,0.4695555555555555,0.5625294154124797,0.3642222222222222,0.6220726774364107,0.08725295952909638,0.993696073511854,0.11105519915261436,0.45066943961340755,0.558784749507904,0.439913569688797,0.05766356300434513,4.540618528630998,0.9393219522360751,10.984888888888888,0.012475809808187856,0.849567568608201,900,932,1.0,1.0355555555555556,0.035555555555555556,0.6502145922746781,0.5505538582801819,0.6306957531856318,0.08406837313587223,10.529988050460815
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,16,20276965,0.5428888888888889,0.23622222222222222,0.22088888888888888,0.7637777777777778,0.4571111111111111,0.5681265319556643,0.37244444444444447,0.6298337947831603,0.08995111336221634,0.9928588142517273,0.11016363697897365,0.45024262903626744,0.5641746377944946,0.43665650486946106,0.058336436995654876,4.5595000054041535,0.9474414643362152,11.035111111111112,0.012769204397051726,0.8432159711992453,900,945,1.0,1.05,0.05,0.6497354497354497,0.54668790102005,0.638330895882138,0.0870438949411525,10.247990846633911
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,17,20277974,0.532,0.24955555555555556,0.21844444444444444,0.7504444444444445,0.46799999999999997,0.5578000824736296,0.3455555555555555,0.615258345911709,0.08907321048387151,0.9939803748320837,0.10975582185459068,0.45144476343617235,0.5530453491210937,0.4356398952007294,0.05840844196151458,4.554554887241787,0.9381854536410504,11.149777777777777,0.012099074817844488,0.8563630238739824,900,944,1.0,1.048888888888889,0.04888888888888889,0.6430084745762712,0.5481071472167969,0.6238215033784773,0.08605403714145465,10.280192613601685
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,18,20278983,0.538888888888889,0.24666666666666667,0.21444444444444447,0.7533333333333334,0.4611111111111111,0.5705222289314342,0.39,0.6305229210551889,0.0975620128330352,0.9944218315664809,0.11405919551078203,0.45124686049818225,0.5637899422645569,0.4407253611087799,0.05789447548106766,4.567217313713497,0.9386330050539335,11.023555555555555,0.013840581525496203,0.847630518306757,900,936,1.0,1.04,0.04,0.6826923076923077,0.5513353943824768,0.6392654650549365,0.09413692307659804,10.883155345916748
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,19,20279992,0.5217777777777778,0.24977777777777777,0.22844444444444445,0.7502222222222223,0.4782222222222222,0.5597461721989654,0.3522222222222222,0.6209654678084697,0.0972410060732155,0.9941259508427858,0.11392032299583857,0.45236266942904996,0.5561259508132934,0.43968734502792356,0.05796896337678461,4.562314777586194,0.9377164657692414,10.986666666666665,0.013538329073178833,0.8519003250640621,900,936,1.0,1.04,0.04,0.6581196581196581,0.5502431392669678,0.6297200728785541,0.09377788428426559,10.464176893234253
