system,n_replications,metric,mean,ci_low,ci_high,ci_half_width
AI-enabled,5,final_human_interaction_rate,0.6541333333333335,0.6383372406154303,0.6699294260512366,0.015796092717903165
AI-enabled,5,final_mean_quality,0.5892955996948546,0.578342981810784,0.6002482175789251,0.010952617884070537
AI-enabled,5,final_mean_knowledge,0.6451251764155493,0.6282231212713476,0.6620272315597511,0.016902055144201733
AI-enabled,5,final_mean_peer_trust,0.5638327341079712,0.5519027906703382,0.5757626775456042,0.011929943437632984
AI-enabled,5,final_mean_tie_strength,0.43630398893356326,0.4329032305249929,0.4397047473421336,0.003400758408570348
AI-enabled,5,final_recent_active_tie_fraction,0.9140953484551533,0.9081809427625896,0.9200097541477169,0.005914405692563629
AI-enabled,10,final_human_interaction_rate,0.6500666666666668,0.6428842862161195,0.6572490471172141,0.00718238045054731
AI-enabled,10,final_mean_quality,0.5892226347465047,0.5848834276893886,0.5935618418036208,0.004339207057116101
AI-enabled,10,final_mean_knowledge,0.6452184194840118,0.6384961042559367,0.6519407347120869,0.006722315228075093
AI-enabled,10,final_mean_peer_trust,0.5636204917430878,0.5589999343662595,0.5682410491199161,0.004620557376828316
AI-enabled,10,final_mean_tie_strength,0.4352023891210556,0.4335061334956022,0.43689864474650897,0.0016962556254533911
AI-enabled,10,final_recent_active_tie_fraction,0.9118797399110518,0.9072628785858969,0.9164966012362066,0.00461686132515482
AI-enabled,15,final_human_interaction_rate,0.6485777777777777,0.643776580036111,0.6533789755194443,0.004801197741666652
AI-enabled,15,final_mean_quality,0.5898279011602656,0.5862127139668699,0.5934430883536613,0.003615187193395708
AI-enabled,15,final_mean_knowledge,0.6460230169231508,0.6407902524736979,0.6512557813726036,0.005232764449452865
AI-enabled,15,final_mean_peer_trust,0.5638335668245952,0.5602941775514699,0.5673729560977204,0.0035393892731252485
AI-enabled,15,final_mean_tie_strength,0.4350983464717865,0.4337579363116813,0.43643875663189174,0.001340410160105221
AI-enabled,15,final_recent_active_tie_fraction,0.9129690587522034,0.9092041343409936,0.9167339831634131,0.0037649244112097913
AI-enabled,20,final_human_interaction_rate,0.6464666666666667,0.6421794475204875,0.650753885812846,0.004287219146179244
AI-enabled,20,final_mean_quality,0.5892713932625464,0.586450785943758,0.5920920005813348,0.002820607318788415
AI-enabled,20,final_mean_knowledge,0.6455210646034021,0.6415263353341056,0.6495157938726985,0.003994729269296449
AI-enabled,20,final_mean_peer_trust,0.563483162522316,0.5607439478931018,0.5662223771515302,0.002739214629214226
AI-enabled,20,final_mean_tie_strength,0.4348825634717941,0.433857882920852,0.43590724402273623,0.0010246805509421253
AI-enabled,20,final_recent_active_tie_fraction,0.9122816825882388,0.9093119497623112,0.9152514154141664,0.002969732825927607
AI-enabled,25,final_human_interaction_rate,0.64648,0.6423767641480402,0.6505832358519599,0.004103235851959819
AI-enabled,25,final_mean_quality,0.5905195564023406,0.5879422986690209,0.5930968141356602,0.0025772577333196267
AI-enabled,25,final_mean_knowledge,0.6470577717862587,0.6435091073112851,0.6506064362612323,0.003548664474973595
AI-enabled,25,final_mean_peer_trust,0.5645346845626831,0.5620564784699302,0.5670128906554359,0.0024782060927528438
AI-enabled,25,final_mean_tie_strength,0.43467517795562743,0.4336718194915435,0.4356785364197114,0.0010033584640839477
AI-enabled,25,final_recent_active_tie_fraction,0.9119211809578222,0.9094220838919329,0.9144202780237114,0.002499097065889244
AI-enabled,30,final_human_interaction_rate,0.6474222222222223,0.6437655126762967,0.651078931768148,0.0036567095459256738
AI-enabled,30,final_mean_quality,0.5906727319656521,0.5884627020328317,0.5928827618984724,0.0022100299328203787
AI-enabled,30,final_mean_knowledge,0.6473671879766045,0.6443197337462282,0.6504146422069809,0.003047454230376334
AI-enabled,30,final_mean_peer_trust,0.5647912015120188,0.5626424978832817,0.5669399051407559,0.002148703628737092
AI-enabled,30,final_mean_tie_strength,0.4350118856032689,0.434040379626227,0.43598339158031085,0.000971505977041931
AI-enabled,30,final_recent_active_tie_fraction,0.9122053498297025,0.9100465308946202,0.9143641687647848,0.002158818935082296
Human-only benchmark,5,final_human_interaction_rate,1.0,1.0,1.0,0.0
Human-only benchmark,5,final_mean_quality,0.5873701721418086,0.5713066851857693,0.603433659097848,0.01606348695603932
Human-only benchmark,5,final_mean_knowledge,0.6361733167473638,0.6155346668619434,0.6568119666327842,0.020638649885420413
Human-only benchmark,5,final_mean_peer_trust,0.5750003223419189,0.5591912948462485,0.5908093498375893,0.01580902749567037
Human-only benchmark,5,final_mean_tie_strength,0.4514285800457,0.44603424815057,0.45682291194083,0.00539433189513
Human-only benchmark,5,final_recent_active_tie_fraction,0.9725605349020603,0.9669835643443855,0.9781375054597351,0.00557697055767481
Human-only benchmark,10,final_human_interaction_rate,1.0,1.0,1.0,0.0
Human-only benchmark,10,final_mean_quality,0.5867017973327033,0.5804352788874301,0.5929683157779766,0.006266518445273261
Human-only benchmark,10,final_mean_knowledge,0.6363134316219221,0.6281792016588872,0.644447661584957,0.008134229963034922
Human-only benchmark,10,final_mean_peer_trust,0.5751939568519592,0.5690318833955075,0.5813560303084109,0.0061620734564517
Human-only benchmark,10,final_mean_tie_strength,0.45105536198616025,0.44877405996045017,0.45333666401187034,0.0022813020257100858
Human-only benchmark,10,final_recent_active_tie_fraction,0.9737169002715678,0.9710031428960303,0.9764306576471052,0.0027137573755374733
Human-only benchmark,15,final_human_interaction_rate,1.0,1.0,1.0,0.0
Human-only benchmark,15,final_mean_quality,0.5860401406239586,0.5808561704286396,0.5912241108192776,0.005183970195319021
