factor,level,multiplier,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
reference,reference,1.0,0,20260821,0.4031111111111111,0.33911111111111114,0.2577777777777778,0.6608888888888889,0.5968888888888889,0.590052791448501,0.43511111111111106,0.6475507832101444,0.08560842004728211,0.990286242830839,0.099667152638121,0.5922422649177828,0.5650177025794982,0.4377553820610046,0.05721415270018622,4.4831345582008355,0.9175869686393789,10.799111111111115,0.007952262303099924,0.9140966130400551,900,923,1.0,1.0255555555555556,0.025555555555555557,0.6446370530877573,0.5542529225349426,0.6568116185649298,0.08179134015953804,10.421965837478638
reference,reference,1.0,1,20261830,0.40111111111111114,0.33866666666666667,0.26022222222222224,0.6613333333333334,0.5988888888888888,0.6017265519570408,0.4615555555555556,0.6643636111266854,0.08391365086547857,0.9901216300844712,0.098723908914975,0.5956068854600735,0.5777353763580322,0.4399692118167877,0.056901303538175046,4.481211267789205,0.9170920935459753,10.670222222222222,0.008367037963824951,0.9122998879002018,900,917,1.0,1.018888888888889,0.01888888888888889,0.6543075245365322,0.5549401044845581,0.6734220883042219,0.08026579136505796,10.088360786437988
reference,reference,1.0,2,20262839,0.38822222222222225,0.36711111111111117,0.24466666666666664,0.6328888888888888,0.6117777777777778,0.5779516908516535,0.40577777777777774,0.6274740330242885,0.08603265779216575,0.9880631463595536,0.10322733969808869,0.5935928752552905,0.5515279698371888,0.43490747213363645,0.05699068901303539,4.436625652313232,0.9065031375867963,10.715555555555554,0.0073610008486962334,0.9130499245571237,900,919,1.0,1.021111111111111,0.021111111111111112,0.6322089227421109,0.5509834885597229,0.6372049747907388,0.08229381803021596,10.19560694694519
reference,reference,1.0,3,20263848,0.39266666666666666,0.3482222222222222,0.2591111111111111,0.6517777777777778,0.6073333333333334,0.5919614957503352,0.43355555555555564,0.6478924431799509,0.07627198979703943,0.9897981138169049,0.0964539702952369,0.5907524251983564,0.565546944141388,0.436116578578949,0.05691371818746121,4.442951319906447,0.9122668374660108,10.774666666666667,0.007979497738651104,0.911108109647395,900,917,1.0,1.018888888888889,0.01888888888888889,0.6335877862595419,0.5510573387145996,0.6570252036376907,0.07288447955234911,9.85875654220581
reference,reference,1.0,4,20264857,0.4124444444444444,0.3362222222222222,0.25133333333333335,0.6637777777777778,0.5875555555555555,0.5847854684667422,0.4222222222222222,0.6383450115366773,0.08398524532500193,0.9910768599010322,0.10211746679555095,0.5938357315915157,0.5593356776237488,0.43277130007743836,0.05673743016759777,4.395221610916986,0.9170277050376057,10.533777777777777,0.008110475904801854,0.9096506591426546,900,915,1.0,1.0166666666666666,0.016666666666666666,0.6196721311475409,0.5459277629852295,0.6477499314180479,0.08028635120188565,9.688508987426758
reference,reference,1.0,5,20265866,0.402,0.34800000000000003,0.25000000000000006,0.652,0.598,0.5887577101884875,0.43200000000000005,0.6412208080050328,0.08349366020195487,0.9907907429853721,0.09973233835953625,0.5937594672391416,0.5614563369750977,0.43172777771949766,0.057134698944754814,4.415297722445594,0.9194311724241352,10.679111111111112,0.007664458609483232,0.9127811078027241,900,923,1.0,1.0255555555555556,0.025555555555555557,0.6056338028169014,0.5463204383850098,0.6505830927352233,0.07975651082580515,9.645528554916382
reference,reference,1.0,6,20266875,0.40577777777777785,0.3535555555555556,0.24066666666666667,0.6464444444444445,0.5942222222222222,0.5903691222063255,0.42599999999999993,0.6477295796886509,0.08407957491992317,0.9913608404786306,0.10147788822369136,0.5926831777666695,0.5634037494659424,0.4350979745388031,0.05721663563004346,4.456072562164731,0.9098600913030644,10.745777777777779,0.007894845955489845,0.9127951084967072,900,924,1.0,1.0266666666666666,0.02666666666666667,0.6461038961038961,0.550755500793457,0.6568726796850923,0.08058482942627165,9.647327184677124
reference,reference,1.0,7,20267884,0.39466666666666667,0.354,0.2513333333333333,0.6460000000000001,0.6053333333333333,0.5854341200577082,0.41333333333333333,0.6424129521416282,0.08769820369566887,0.9909421590232074,0.10411738253878378,0.5927111604031936,0.5636220788955688,0.4353031063079834,0.05708007448789572,4.447612426227994,0.9132628566021669,10.571111111111113,0.008027111312749368,0.9117290355236258,900,920,1.0,1.0222222222222221,0.022222222222222223,0.6282608695652174,0.5503920912742615,0.6516933080633115,0.08400152518118431,9.722290277481079
reference,reference,1.0,8,20268893,0.4015555555555556,0.3528888888888889,0.24555555555555558,0.6471111111111112,0.5984444444444444,0.590246944750966,0.4302222222222222,0.6451434518406259,0.08519297814554086,0.9893099513454052,0.10199013698674683,0.5914733869920431,0.5638336157798767,0.4346213114261627,0.057030415890751085,4.436748127725389,0.9070479479281146,10.565333333333333,0.008492289288164357,0.9148628309667842,900,920,1.0,1.0222222222222221,0.022222222222222223,0.6173913043478261,0.5488340258598328,0.654486250038732,0.08152405142943575,9.669286489486694
reference,reference,1.0,9,20269902,0.396,0.3615555555555555,0.24244444444444443,0.6384444444444445,0.604,0.5909404517872875,0.4295555555555556,0.6500515210864344,0.07483282466100494,0.988959649472148,0.09845698972877542,0.5942224855538426,0.5647254657745361,0.43375377655029296,0.05726381129733085,4.446005133575863,0.8987185885772685,10.82088888888889,0.007710003551677368,0.9179459094821277,900,924,1.0,1.0266666666666666,0.02666666666666667,0.6125541125541125,0.5498554706573486,0.6591687197992617,0.07155094177351873,10.30454397201538
