system,metric,mean,ci_low,ci_high,n
AI-enabled,final_peer_share,0.3963925925925925,0.39347395469104546,0.3993112304941396,30
AI-enabled,final_ai_share,0.35257777777777777,0.3489210682318521,0.35623448732370344,30
AI-enabled,final_hybrid_share,0.2510296296296296,0.24846097250117977,0.25359828675807944,30
AI-enabled,final_human_interaction_rate,0.6474222222222223,0.6437655126762967,0.651078931768148,30
AI-enabled,final_ai_use_rate,0.6036074074074074,0.6006887695058603,0.6065260453089545,30
AI-enabled,final_mean_quality,0.5906727319656521,0.5884627020328317,0.5928827618984724,30
AI-enabled,final_success_rate,0.43248888888888887,0.4259013837261803,0.43907639405159743,30
AI-enabled,final_mean_knowledge,0.6473671879766045,0.6443197337462282,0.6504146422069809,30
AI-enabled,final_knowledge_gini,0.08042437897383657,0.07883287569972963,0.08201588224794351,30
AI-enabled,final_knowledge_rank_corr_with_initial,0.9894027533837602,0.9888489258378322,0.9899565809296881,30
AI-enabled,final_performance_gini,0.09931704545678613,0.09846870384579508,0.10016538706777718,30
AI-enabled,final_mean_ai_trust,0.5934580522010148,0.5929370267209414,0.5939790776810882,30
AI-enabled,final_mean_peer_trust,0.5647912015120188,0.5626424978832817,0.5669399051407559,30
AI-enabled,final_mean_tie_strength,0.4350118856032689,0.434040379626227,0.43598339158031085,30
AI-enabled,final_network_density,0.056973722325677593,0.056881253071286345,0.05706619158006884,30
AI-enabled,final_mean_weighted_degree,4.436312640469164,4.425025805130594,4.447599475807734,30
AI-enabled,final_recent_active_tie_fraction,0.9122053498297025,0.9100465308946202,0.9143641687647848,30
AI-enabled,final_mean_unique_peer_partners,10.68488888888889,10.651488836292552,10.718288941485229,30
AI-enabled,final_mean_peer_marginal,0.007821733757161399,0.007596011010999576,0.008047456503323221,30
AI-enabled,final_mean_ai_availability_probability,0.9129151414272197,0.9120519889062106,0.9137782939482288,30
AI-enabled,edge_retention_ratio,1.0,1.0,1.0,30
AI-enabled,edge_count_ratio,1.0212962962962961,1.0194695741746764,1.0231230184179159,30
AI-enabled,new_edge_ratio,0.021296296296296254,0.019469574174676534,0.023123018417915975,30
AI-enabled,strong_tie_fraction,0.6317484242614569,0.6255221561515505,0.6379746923713634,30
Human-only benchmark,final_peer_share,1.0,1.0,1.0,30
Human-only benchmark,final_ai_share,0.0,0.0,0.0,30
Human-only benchmark,final_hybrid_share,0.0,0.0,0.0,30
Human-only benchmark,final_human_interaction_rate,1.0,1.0,1.0,30
Human-only benchmark,final_ai_use_rate,0.0,0.0,0.0,30
Human-only benchmark,final_mean_quality,0.5874395186970532,0.5842703524963789,0.5906086848977276,30
Human-only benchmark,final_success_rate,0.42673333333333346,0.41772828952818,0.43573837713848695,30
Human-only benchmark,final_mean_knowledge,0.6382666026577734,0.6344763693950976,0.6420568359204492,30
Human-only benchmark,final_knowledge_gini,0.08965468486306241,0.08774090315961872,0.09156846656650611,30
Human-only benchmark,final_knowledge_rank_corr_with_initial,0.9894650682496283,0.9888534436695567,0.9900766928296999,30
Human-only benchmark,final_performance_gini,0.10509262654676443,0.10388054754691407,0.1063047055466148,30
Human-only benchmark,final_mean_ai_trust,0.0,0.0,0.0,30
Human-only benchmark,final_mean_peer_trust,0.5767753963470458,0.573825078591317,0.5797257141027745,30
Human-only benchmark,final_mean_tie_strength,0.45057557551066074,0.44939985900565343,0.45175129201566805,30
Human-only benchmark,final_network_density,0.05853722325677629,0.058367804100953685,0.05870664241259889,30
Human-only benchmark,final_mean_weighted_degree,4.720975812327421,4.708174250680091,4.73377737397475,30
Human-only benchmark,final_recent_active_tie_fraction,0.9748855197295275,0.9736840976195237,0.9760869418395314,30
Human-only benchmark,final_mean_unique_peer_partners,11.080651851851853,11.043398930664377,11.117904773039328,30
Human-only benchmark,final_mean_peer_marginal,0.014260239510109943,0.014020913215256663,0.014499565804963224,30
Human-only benchmark,final_mean_ai_availability_probability,0.0,0.0,0.0,30
Human-only benchmark,edge_retention_ratio,1.0,1.0,1.0,30
Human-only benchmark,edge_count_ratio,1.0514074074074076,1.0480563242473147,1.0547584905675005,30
Human-only benchmark,new_edge_ratio,0.05140740740740737,0.04805632424731445,0.05475849056750028,30
Human-only benchmark,strong_tie_fraction,0.708185974352632,0.7016254248445989,0.7147465238606651,30
