factor,level,multiplier,metric,mean,ci_low,ci_high,n
ai_access_saturation,+20%,1.2,final_peer_share,0.39097777777777776,0.3862161261970728,0.3957394293584827,20
ai_access_saturation,+20%,1.2,final_ai_share,0.35638888888888887,0.35204560407008617,0.36073217370769156,20
ai_access_saturation,+20%,1.2,final_hybrid_share,0.2526333333333333,0.2495771560682524,0.25568951059841427,20
ai_access_saturation,+20%,1.2,final_human_interaction_rate,0.6436111111111111,0.6392678262923085,0.6479543959299138,20
ai_access_saturation,+20%,1.2,final_ai_use_rate,0.6090222222222222,0.6042605706415173,0.6137838738029272,20
ai_access_saturation,+20%,1.2,final_mean_quality,0.589450677326845,0.5864829740077433,0.5924183806459467,20
ai_access_saturation,+20%,1.2,final_success_rate,0.4292111111111111,0.4199026349882243,0.4385195872339979,20
ai_access_saturation,+20%,1.2,final_mean_knowledge,0.6455483937160503,0.641579096047432,0.6495176913846686,20
ai_access_saturation,+20%,1.2,final_knowledge_gini,0.08126724805180337,0.07925610401203301,0.08327839209157373,20
ai_access_saturation,+20%,1.2,final_knowledge_rank_corr_with_initial,0.9892545057914777,0.9884290785710641,0.9900799330118912,20
ai_access_saturation,+20%,1.2,final_performance_gini,0.09949130846372971,0.09849190128034487,0.10049071564711455,20
ai_access_saturation,+20%,1.2,final_mean_ai_trust,0.5937269579973407,0.5931615424087755,0.5942923735859058,20
ai_access_saturation,+20%,1.2,final_mean_peer_trust,0.56352221930027,0.5608135322267133,0.5662309063738268,20
ai_access_saturation,+20%,1.2,final_mean_tie_strength,0.43472238993644724,0.43347534070358734,0.43596943916930714,20
ai_access_saturation,+20%,1.2,final_network_density,0.05698808193668525,0.05682055935217157,0.05715560452119894,20
ai_access_saturation,+20%,1.2,final_mean_weighted_degree,4.434400093828308,4.422301676271982,4.446498511384634,20
ai_access_saturation,+20%,1.2,final_recent_active_tie_fraction,0.9116711491621926,0.9085073082359968,0.9148349900883884,20
ai_access_saturation,+20%,1.2,final_mean_unique_peer_partners,10.703844444444446,10.665974332068291,10.7417145568206,20
ai_access_saturation,+20%,1.2,final_mean_peer_marginal,0.00787859668483973,0.0075269991670734015,0.008230194202606058,20
ai_access_saturation,+20%,1.2,final_mean_ai_availability_probability,0.9209493686527803,0.9199424347813202,0.9219563025242404,20
ai_access_saturation,+20%,1.2,edge_retention_ratio,1.0,1.0,1.0,20
ai_access_saturation,+20%,1.2,edge_count_ratio,1.0216666666666667,1.018436745674105,1.0248965876592284,20
ai_access_saturation,+20%,1.2,new_edge_ratio,0.02166666666666663,0.018436745674104953,0.024896587659228305,20
ai_access_saturation,+20%,1.2,strong_tie_fraction,0.6325642997000122,0.625135454506919,0.6399931448931053,20
ai_access_saturation,-20%,0.8,final_peer_share,0.40206666666666663,0.3965516471931117,0.40758168614022156,20
ai_access_saturation,-20%,0.8,final_ai_share,0.3511888888888889,0.3463305541207322,0.35604722365704555,20
ai_access_saturation,-20%,0.8,final_hybrid_share,0.24674444444444443,0.24284988979616462,0.25063899909272425,20
