step,difficulty,mean_quality,mean_knowledge,mean_trust_ai,mean_trust_peer,mean_performance,peer_events,ai_events,hybrid_events,success_rate,avg_tie_strength,HIRI,AMR,gini_performance,scenario,replication
13,0.5685613790463323,0.2069760631481526,0.5974021038698734,0.2066775699060989,0.07140596610513038,2.73211839581858,56,13,51,0.008333333333333333,0.9164179400177799,0.981651376146789,0.5333333333333333,0.12560554512800515,baseline_human_only,0
14,0.6725682640436828,0.15312466378014603,0.6009165963201026,0.18006062837627593,0.050472819370502735,2.8852430595987264,42,20,58,0.0,0.9085637733511132,0.9174311926605505,0.65,0.12809532149151023,baseline_human_only,0
15,0.6819279663435645,0.1619416057813974,0.6049956453756234,0.15679153229653744,0.032037554262664976,3.0471846653801236,51,10,59,0.0,0.9003762733511131,1.0091743119266054,0.575,0.12955990098182169,baseline_human_only,0
16,0.8230229636565949,0.11681824695608342,0.6083017879787714,0.13716190115739063,0.0182099864854618,3.164002912336207,55,16,49,0.0,0.8925054400177798,0.9541284403669725,0.5416666666666666,0.13124484656245142,baseline_human_only,0
17,0.4319335787635086,0.24388925335859496,0.6145213648102327,0.11909600872738062,0.010814986099187438,3.4078921656948022,54,16,50,0.025,0.8852304400177798,0.9541284403669725,0.55,0.12975798740873526,baseline_human_only,0
18,0.42727972783534873,0.24133240886043322,0.6211556602478758,0.10403496094893804,0.005570854792976672,3.6492245745552356,57,20,43,0.025,0.8780971066844465,0.9174311926605505,0.525,0.12612416737632434,baseline_human_only,0
19,0.6908789952660095,0.16806482020987373,0.6259085024896686,0.0901101386564054,0.0025545996368736847,3.817289394765109,56,15,49,0.008333333333333333,0.8702887733511131,0.963302752293578,0.5333333333333333,0.1255890029143044,baseline_human_only,0
20,0.32261737571550286,0.2893879044821821,0.6346763796610089,0.07883076615751548,0.0014272353370783327,4.106677299247291,67,10,43,0.025,0.8626137733511131,1.0091743119266054,0.44166666666666665,0.1215696445319481,baseline_human_only,0
21,0.33486232071252625,0.28071425915890486,0.6427206461363075,0.06766784519052566,0.0023333333333333335,4.387391558406195,62,19,39,0.058333333333333334,0.8561387733511131,0.926605504587156,0.48333333333333334,0.11818140711834103,baseline_human_only,0
22,0.7641761479158531,0.1431877945376595,0.6470595052094686,0.05609092052120235,0.0004583333333333334,4.530579352943856,54,20,46,0.0,0.8481387733511132,0.9174311926605505,0.55,0.11979423282996442,baseline_human_only,0
23,0.720422542913379,0.14546592500168393,0.6516679974096117,0.04575863050084801,0.0,4.67604527794554,62,22,36,0.0,0.840251273351113,0.8990825688073395,0.48333333333333334,0.11987319363537366,baseline_human_only,0
24,0.3284079307625421,0.2858406197583181,0.6587559347133715,0.038154684302834876,0.002041666666666667,4.961885897703857,52,15,53,0.058333333333333334,0.833551273351113,0.963302752293578,0.5666666666666667,0.11576207981593636,baseline_human_only,0
25,0.8849037544319283,0.11519474014710429,0.6623583489301368,0.031214265524977226,0.0002916666666666667,5.077080637850961,56,20,44,0.0,0.8256346066844464,0.9174311926605505,0.5333333333333333,0.11853921130021712,baseline_human_only,0
26,0.6032422398279901,0.1914248575034441,0.6675687680631026,0.02453072657194335,0.0008750000000000001,5.268505495354406,53,13,54,0.025,0.8180762733511131,0.981651376146789,0.5583333333333333,0.11921888116813668,baseline_human_only,0
27,0.3643984444045092,0.2813593458434525,0.675073971559869,0.01859823866900748,0.0035000000000000005,5.549864841197858,57,16,47,0.075,0.8114721066844465,0.9541284403669725,0.525,0.11858069840470681,baseline_human_only,0
28,0.3398200726636629,0.2859251615396203,0.6825369870351428,0.014979209906867375,0.004958333333333333,5.835790002737479,55,13,52,0.08333333333333333,0.8049429400177798,0.981651376146789,0.5416666666666666,0.11550263122725793,baseline_human_only,0
29,0.8872851032188176,0.13797711846721716,0.6871769797761876,0.013503630653149749,0.0011250000000000001,5.9737671212046966,63,16,41,0.0,0.7968846066844464,0.9541284403669725,0.475,0.11829545989410903,baseline_human_only,0
30,0.8278284997620122,0.13522842785771388,0.6913124513121356,0.010331824870784174,0.0,6.108995549062411,58,11,51,0.0,0.7887012733511131,1.0,0.5166666666666667,0.11794593594208633,baseline_human_only,0
