shock_condition,episode,metric,mean,ci_low,ci_high,n
Persistent drop,1,human_interaction_rate,0.6383333333333333,0.6265182845520593,0.6501483821146073,30
Persistent drop,1,ai_use_rate,0.637222222222222,0.6270135024830419,0.6474309419614022,30
Persistent drop,1,mean_quality,0.5116108343031881,0.5083575126945657,0.5148641559118105,30
Persistent drop,1,mean_knowledge,0.5199748417905862,0.5163272444807855,0.5236224391003869,30
Persistent drop,1,knowledge_rank_corr_with_initial,0.999990676276013,0.9999900003262209,0.9999913522258052,30
Persistent drop,1,mean_ai_trust,0.5094088677263034,0.5075863324923287,0.5112314029602782,30
Persistent drop,1,mean_peer_trust,0.500524706641833,0.5000585411357236,0.5009908721479425,30
Persistent drop,1,mean_tie_strength,0.5490741709868113,0.5478190708764129,0.5503292710972097,30
Persistent drop,1,recent_active_tie_fraction,0.12319447527438644,0.12093800276322675,0.12545094778554614,30
Persistent drop,1,mean_unique_peer_partners,1.235185185185185,1.212668147618445,1.2577022227519248,30
Persistent drop,1,network_density,0.055878336436995545,0.05586890652737306,0.05588776634661803,30
Persistent drop,1,ai_reliability,0.8599999999999999,0.8599999999999999,0.8599999999999999,30
Persistent drop,2,human_interaction_rate,0.6266666666666666,0.6117530907516002,0.641580242581733,30
Persistent drop,2,ai_use_rate,0.6420370370370369,0.6290683752358771,0.6550056988381966,30
Persistent drop,2,mean_quality,0.5096869832653852,0.5054825244228153,0.5138914421079551,30
Persistent drop,2,mean_knowledge,0.5211785552584683,0.517539663310116,0.5248174472068207,30
Persistent drop,2,knowledge_rank_corr_with_initial,0.9999791031251681,0.9999775017538238,0.9999807044965124,30
Persistent drop,2,mean_ai_trust,0.5195828403756746,0.5178595941273704,0.5213060866239788,30
Persistent drop,2,mean_peer_trust,0.5007033218940099,0.5002512057573435,0.5011554380306763,30
Persistent drop,2,mean_tie_strength,0.5481225649515787,0.5468650900013038,0.5493800399018537,30
Persistent drop,2,recent_active_tie_fraction,0.2286650224030912,0.22466194374814769,0.2326681010580347,30
Persistent drop,2,mean_unique_peer_partners,2.294074074074074,2.253985417569121,2.334162730579027,30
Persistent drop,2,network_density,0.055884543761638636,0.05587374044297823,0.05589534708029904,30
Persistent drop,2,ai_reliability,0.8599999999999999,0.8599999999999999,0.8599999999999999,30
Persistent drop,3,human_interaction_rate,0.6227777777777778,0.6072983155176087,0.6382572400379468,30
Persistent drop,3,ai_use_rate,0.647962962962963,0.6305598113794977,0.6653661145464282,30
Persistent drop,3,mean_quality,0.5114854494409173,0.5074556245634056,0.515515274318429,30
Persistent drop,3,mean_knowledge,0.522370706635028,0.518739658758446,0.5260017545116101,30
Persistent drop,3,knowledge_rank_corr_with_initial,0.9999671129965885,0.9999646346194137,0.9999695913737633,30
Persistent drop,3,mean_ai_trust,0.5288799630960204,0.5273044079178458,0.5304555182741949,30
Persistent drop,3,mean_peer_trust,0.5008509665727615,0.5004004585121536,0.5013014746333694,30
Persistent drop,3,mean_tie_strength,0.5471612672011058,0.5459058880747896,0.548416646327422,30
Persistent drop,3,recent_active_tie_fraction,0.32162244709622956,0.31631613508340706,0.32692875910905206,30
Persistent drop,3,mean_unique_peer_partners,3.2270370370370376,3.1741207017336426,3.2799533723404326,30
Persistent drop,3,network_density,0.055892820194496075,0.05587830898961523,0.05590733139937692,30
Persistent drop,3,ai_reliability,0.8599999999999999,0.8599999999999999,0.8599999999999999,30
Persistent drop,4,human_interaction_rate,0.6198148148148148,0.6059716709266993,0.6336579587029303,30
Persistent drop,4,ai_use_rate,0.6492592592592594,0.6364744095694957,0.6620441089490231,30
Persistent drop,4,mean_quality,0.5132524059580238,0.5100289751538299,0.5164758367622176,30
Persistent drop,4,mean_knowledge,0.5235876467369899,0.5199614841250192,0.5272138093489606,30
Persistent drop,4,knowledge_rank_corr_with_initial,0.9999510343752491,0.9999477234407793,0.9999543453097189,30
Persistent drop,4,mean_ai_trust,0.5378144104735353,0.5362270153995069,0.5394018055475637,30
Persistent drop,4,mean_peer_trust,0.5010348568360011,0.5005927180353043,0.501476995636698,30
Persistent drop,4,mean_tie_strength,0.5461778620878855,0.5449313929186248,0.5474243312571463,30
Persistent drop,4,recent_active_tie_fraction,0.40444280774593977,0.39911445308012056,0.409771162411759,30
Persistent drop,4,mean_unique_peer_partners,4.061481481481481,4.007663659167438,4.115299303795524,30
Persistent drop,4,network_density,0.0559073039519966,0.05589082033091408,0.055923787573079115,30
Persistent drop,4,ai_reliability,0.8599999999999999,0.8599999999999999,0.8599999999999999,30
Persistent drop,5,human_interaction_rate,0.607962962962963,0.5906435767485246,0.6252823491774014,30
Persistent drop,5,ai_use_rate,0.6583333333333333,0.6447819836889006,0.671884682977766,30
Persistent drop,5,mean_quality,0.518226422379759,0.5143900648794336,0.5220627798800844,30
Persistent drop,5,mean_knowledge,0.5248052440822188,0.521185324074733,0.5284251640897047,30
Persistent drop,5,knowledge_rank_corr_with_initial,0.9999341838142871,0.9999296031673293,0.999938764461245,30
Persistent drop,5,mean_ai_trust,0.5461613419398808,0.5446376569741127,0.5476850269056488,30
Persistent drop,5,mean_peer_trust,0.5012234419584274,0.5007803914719933,0.5016664924448615,30
Persistent drop,5,mean_tie_strength,0.5452314992745717,0.5439833538532977,0.5464796446958458,30
Persistent drop,5,recent_active_tie_fraction,0.4730605703010135,0.46740918079874455,0.47871195980328246,30
Persistent drop,5,mean_unique_peer_partners,4.752592592592592,4.695124299280852,4.810060885904331,30
Persistent drop,5,network_density,0.05591144216842532,0.05589225771571562,0.05593062662113502,30
Persistent drop,5,ai_reliability,0.8599999999999999,0.8599999999999999,0.8599999999999999,30
Persistent drop,6,human_interaction_rate,0.6053703703703703,0.5908389752943753,0.6199017654463653,30
Persistent drop,6,ai_use_rate,0.6651851851851851,0.648456360140875,0.6819140102294952,30
Persistent drop,6,mean_quality,0.5169894659870945,0.5129739743621891,0.5210049576119999,30
Persistent drop,6,mean_knowledge,0.5260250815828542,0.5224130649197248,0.5296370982459836,30
Persistent drop,6,knowledge_rank_corr_with_initial,0.9999146890738658,0.9999079423190708,0.9999214358286609,30
Persistent drop,6,mean_ai_trust,0.5539128116552973,0.5524145184608276,0.555411104849767,30
Persistent drop,6,mean_peer_trust,0.5014113912979762,0.5009651754819986,0.5018576071139538,30
Persistent drop,6,mean_tie_strength,0.5442864894866943,0.543040282605343,0.5455326963680457,30
Persistent drop,6,recent_active_tie_fraction,0.5334883259449711,0.527796544770315,0.5391801071196272,30
Persistent drop,6,mean_unique_peer_partners,5.362222222222221,5.304243199281603,5.420201245162839,30
Persistent drop,6,network_density,0.05591558038485403,0.05589502837330846,0.0559361323963996,30
Persistent drop,6,ai_reliability,0.8599999999999999,0.8599999999999999,0.8599999999999999,30
Persistent drop,7,human_interaction_rate,0.6109259259259259,0.5989346784616388,0.6229171733902129,30
Persistent drop,7,ai_use_rate,0.6609259259259258,0.6500372699303996,0.671814581921452,30
