task_type,mode,metric,mean,ci_low,ci_high,n
Contextual,AI-first,mean_quality,0.5369484933981712,0.5336961547020433,0.540200832094299,20
Contextual,AI-first,mean_support_gain,0.010284461928022053,0.009441874279409967,0.01112704957663414,20
Contextual,AI-first,success_rate,0.2688716856819967,0.25986419855032644,0.277879172813667,20
Contextual,AI-first,n_events,3251.75,3221.278940173849,3282.221059826151,20
Contextual,Hybrid,mean_quality,0.5367055222527883,0.5334749308642553,0.5399361136413213,20
Contextual,Hybrid,mean_support_gain,0.010614276980863629,0.010030368292028677,0.01119818566969858,20
Contextual,Hybrid,success_rate,0.27008854429064694,0.26214928897774054,0.27802779960355334,20
Contextual,Hybrid,n_events,2305.7,2284.0303770332516,2327.369622966748,20
Contextual,Peer-first,mean_quality,0.5515623849267783,0.5471650452783675,0.5559597245751892,20
Contextual,Peer-first,mean_support_gain,0.014598809747831395,0.01417413384518975,0.01502348565047304,20
Contextual,Peer-first,success_rate,0.3107852757541456,0.2981838687491236,0.3233866827591676,20
Contextual,Peer-first,n_events,3451.95,3418.1923003403126,3485.707699659687,20
Integrative,AI-first,mean_quality,0.5479510374468894,0.5453748650608989,0.55052720983288,20
Integrative,AI-first,mean_support_gain,0.02154694679499241,0.020681007728651155,0.022412885861333665,20
Integrative,AI-first,success_rate,0.3133650911683251,0.305349426485263,0.32138075585138726,20
Integrative,AI-first,n_events,3352.15,3319.839241646225,3384.460758353775,20
Integrative,Hybrid,mean_quality,0.5447473934629288,0.5418531456142741,0.5476416413115834,20
Integrative,Hybrid,mean_support_gain,0.017339164816774583,0.01669420412180871,0.017984125511740456,20
Integrative,Hybrid,success_rate,0.3081447155618935,0.2995297256119483,0.3167597055118387,20
Integrative,Hybrid,n_events,2297.55,2279.2734689389413,2315.826531061059,20
Integrative,Peer-first,mean_quality,0.5513898975923354,0.5476090669653573,0.5551707282193135,20
Integrative,Peer-first,mean_support_gain,0.014385187391189219,0.014056163101691355,0.014714211680687083,20
Integrative,Peer-first,success_rate,0.3315310700338029,0.32142368808633814,0.34163845198126763,20
Integrative,Peer-first,n_events,3346.65,3297.4021496278788,3395.8978503721214,20
Structured,AI-first,mean_quality,0.5687734858056398,0.5663440760230197,0.5712028955882599,20
Structured,AI-first,mean_support_gain,0.03410518528992797,0.03302126481830007,0.035189105761555865,20
Structured,AI-first,success_rate,0.40867062482622407,0.4011207328797103,0.41622051677273786,20
Structured,AI-first,n_events,3462.15,3416.6555039137243,3507.644496086276,20
Structured,Hybrid,mean_quality,0.5583394760043571,0.5553272574030798,0.5613516946056344,20
Structured,Hybrid,mean_support_gain,0.02483800815504692,0.024007160623243578,0.025668855686850265,20
Structured,Hybrid,success_rate,0.38041318731952983,0.37079873763668225,0.3900276370023774,20
Structured,Hybrid,n_events,2286.1,2264.884246491329,2307.3157535086707,20
Structured,Peer-first,mean_quality,0.5594327626574105,0.5558331901253681,0.5630323351894528,20
Structured,Peer-first,mean_support_gain,0.014470726323823202,0.014081481133446325,0.01485997151420008,20
Structured,Peer-first,success_rate,0.3935944671058718,0.38288595918028373,0.4043029750314599,20
Structured,Peer-first,n_events,3246.0,3213.5135610748525,3278.4864389251475,20
