scenario,final_mean_quality,final_mean_knowledge,final_mean_trust_ai,final_mean_trust_peer,final_HIRI,final_AMR,final_avg_tie_strength,final_gini_performance
ai_as_complement,0.3642096204025167,0.9785560244326152,0.017380568584201332,0.0380434264843997,0.9204807416379877,0.7958333333333334,0.6635761762054208,0.08729581837727149
ai_as_substitute,0.33261139563185443,0.9288847160822957,0.023340061083579656,0.041592470426892895,0.8900517342356121,0.8179166666666667,0.6273209655701084,0.09862285340997605
baseline_human_only,0.26036273001262217,0.8678634985695943,0.0,0.009771217574499414,0.9780852432431649,0.5154166666666666,0.6154385908564713,0.11151683345473173
overreliance_fragility,0.28407734537502083,0.8557238474855264,0.011048817118988075,0.03571611089360729,0.9320142453335677,0.83625,0.5850395431357633,0.10578873487750022
