shock_condition,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
Stable reliability,0,20260821,0.35022222222222227,0.39511111111111114,0.25466666666666665,0.6048888888888889,0.6497777777777778,0.6051946325699641,0.47266666666666673,0.6595643816898712,0.07971961188650244,0.9865852649164328,0.09550134334460578,0.6432204077156689,0.5667589640617371,0.43648420095443724,0.056797020484171325,4.437536678102282,0.9015936492450289,10.816444444444446,0.005874389622296393,0.9317812537651569,900,917,1.0,1.018888888888889,0.01888888888888889,0.6455834242093784,0.5542529225349426,0.669390237676136,0.07589014423338414,10.116812944412231
Stable reliability,1,20261830,0.3646666666666667,0.36466666666666664,0.27066666666666667,0.6353333333333334,0.6353333333333333,0.6154394592295099,0.49577777777777776,0.6760885633877911,0.07800377194277275,0.9866732061937147,0.09412897288070315,0.6440874394234464,0.5798357439041137,0.43816329836845397,0.05654872749844817,4.43518628305859,0.9095060373216245,10.689333333333334,0.006496283199316063,0.9303002461821097,900,911,1.0,1.0122222222222221,0.012222222222222223,0.6509330406147091,0.5549401044845581,0.6855523669320154,0.0743494731701475,9.94942021369934
Stable reliability,2,20262839,0.342,0.40711111111111115,0.2508888888888889,0.592888888888889,0.6579999999999999,0.5923034437374267,0.4257777777777778,0.6425203367958864,0.07935515713200003,0.9809805176579295,0.09569639969428341,0.6421758731341646,0.5550446295738221,0.43285244941711426,0.05686902545003105,4.406182969623142,0.8932880936710034,10.691555555555556,0.005210121521439849,0.9309515924950336,900,917,1.0,1.018888888888889,0.01888888888888889,0.6248636859323882,0.5509834885597229,0.6527728556068896,0.0754139696570113,9.661474227905273
Stable reliability,3,20263848,0.3591111111111111,0.3837777777777777,0.25711111111111107,0.6162222222222222,0.6408888888888888,0.6050719397218721,0.47955555555555557,0.6605629110541735,0.07065674416091366,0.9852105928391619,0.09246084973765065,0.643664654167766,0.5681569218635559,0.43372480273246766,0.056849162011173196,4.413498354646895,0.9013329905377617,10.611999999999998,0.005500396557337322,0.9293719217802934,900,918,1.0,1.02,0.02,0.6176470588235294,0.5510573387145996,0.6700483807749947,0.06727312110394079,9.765602350234985
Stable reliability,4,20264857,0.3526666666666667,0.3922222222222222,0.2551111111111111,0.6077777777777778,0.6473333333333333,0.5991517017476449,0.46422222222222215,0.6510361067664775,0.07807455913392736,0.9894055013036303,0.0967308515648607,0.6433655571138389,0.5620412254333496,0.43126373052597045,0.05639726877715705,4.353579944875505,0.8971603438721013,10.482222222222221,0.005507268040766813,0.9281647227918027,900,910,1.0,1.011111111111111,0.011111111111111112,0.6131868131868132,0.5459277629852295,0.6610305524979011,0.0742475183906397,9.518723487854004
Stable reliability,5,20265866,0.3559999999999999,0.4008888888888889,0.2431111111111111,0.5991111111111111,0.6439999999999999,0.6009601925654905,0.45955555555555555,0.6539360795903723,0.07686239816693574,0.9850879227292992,0.09599470678714404,0.6439337965337733,0.5640748023986817,0.43052472949028014,0.05654624456859095,4.357657533751594,0.902563376481396,10.585777777777778,0.004997586727555984,0.9306366662275941,900,912,1.0,1.0133333333333334,0.013333333333333334,0.6074561403508771,0.5463204383850098,0.663639082655585,0.07310899602331467,9.79715871810913
Stable reliability,6,20266875,0.34777777777777774,0.38977777777777783,0.2624444444444445,0.6102222222222222,0.6522222222222223,0.6048526154284259,0.46622222222222226,0.6603222076309045,0.07859029004597257,0.9879113225234464,0.0948185671613124,0.6447605106540625,0.5678076219558715,0.4341478419303894,0.05679205462445687,4.413418535603417,0.8993161965024252,10.725333333333333,0.006412830675084691,0.9307495070607148,900,916,1.0,1.0177777777777777,0.017777777777777778,0.6397379912663755,0.550755500793457,0.6701578066275143,0.07495291807771376,9.657552719116211
Stable reliability,7,20267884,0.3633333333333333,0.3917777777777778,0.2448888888888889,0.6082222222222222,0.6366666666666666,0.6010491236581506,0.45622222222222225,0.6550951272565223,0.08148797039137495,0.9860352908005363,0.09773714300776427,0.6434044101757149,0.5653260970115661,0.433624678850174,0.05654872749844817,4.389245428085327,0.9002414928649836,10.524444444444443,0.0053321568008608475,0.9298412545517644,900,911,1.0,1.0122222222222221,0.012222222222222223,0.6256860592755215,0.5503920912742615,0.6647112653400987,0.07770304042041287,9.624366760253906
Stable reliability,8,20268893,0.35155555555555557,0.38866666666666666,0.2597777777777778,0.6113333333333333,0.6484444444444445,0.603663831844343,0.47888888888888886,0.6575697833219276,0.07898609651959411,0.9860151308738326,0.0959996268998143,0.6411106718624628,0.5659517312049865,0.43155283212661744,0.05700062073246431,4.403139971150293,0.9035135759494496,10.595111111111112,0.006192088783334809,0.9323502106824233,900,920,1.0,1.0222222222222221,0.022222222222222223,0.6065217391304348,0.5488340258598328,0.6673913959960919,0.07522186231620975,9.863585233688354
Stable reliability,9,20269902,0.3486666666666667,0.3973333333333334,0.254,0.6026666666666666,0.6513333333333334,0.6059662861345173,0.47511111111111115,0.6625201432567631,0.07042269851404012,0.984164043064871,0.09078438251819985,0.6443170491273578,0.5671729516983032,0.4320434606075287,0.056873991309745506,4.398375982814365,0.9030814836685033,10.63511111111111,0.005512084471074074,0.9348351631955062,900,917,1.0,1.018888888888889,0.01888888888888889,0.608505997818975,0.5498554706573486,0.6721512071393627,0.06705260695861925,9.71638298034668
Stable reliability,10,20270911,0.3428888888888889,0.4093333333333333,0.2477777777777778,0.5906666666666667,0.6571111111111111,0.5942169019288489,0.4466666666666667,0.6439646524704014,0.06986358104568281,0.979975222263542,0.09429086561165179,0.6441373879772888,0.5557399725914002,0.4352278435230255,0.056881440099317206,4.4313145910369025,0.8941468383217196,10.632888888888887,0.004612368871364141,0.9289737531916981,900,919,1.0,1.021111111111111,0.021111111111111112,0.6332970620239391,0.5546082854270935,0.654058148752998,0.06659456323756219,10.06415343284607
Stable reliability,11,20271920,0.35177777777777774,0.3984444444444445,0.24977777777777777,0.6015555555555556,0.6482222222222223,0.6067910805854188,0.4784444444444444,0.66523705740871,0.07773108131503853,0.9841416842388859,0.09405797940540492,0.6433218905553513,0.5695892357826233,0.43154446959495546,0.056881440099317206,4.393840485572815,0.9017898421307042,10.683555555555554,0.006271662247728127,0.9321586042061145,900,919,1.0,1.021111111111111,0.021111111111111112,0.6147986942328618,0.5484080910682678,0.6748143893681025,0.0741111206243601,10.673072099685669
Stable reliability,12,20272929,0.3491111111111111,0.38511111111111107,0.2657777777777778,0.6148888888888888,0.6508888888888889,0.6099587991490449,0.4902222222222223,0.6663189479490389,0.07057325890604055,0.9820524746933157,0.09064497087283527,0.6442837749057445,0.5720329046249389,0.4326273846626282,0.05664556176288021,4.38659208366606,0.897388892897445,10.53822222222222,0.0062360423408497,0.9307134815825802,900,914,1.0,1.0155555555555555,0.015555555555555555,0.6083150984682714,0.5489266514778137,0.6758756555092111,0.0672425092269251,10.407683849334717
Stable reliability,13,20273938,0.36133333333333334,0.39111111111111113,0.24755555555555553,0.6088888888888888,0.6386666666666666,0.6028285652351515,0.4713333333333333,0.6602400151959625,0.07456438665770929,0.9873390000766988,0.09466825129428923,0.6424480884675258,0.5672158026695251,0.43593119859695434,0.05672253258845438,4.42613840564092,0.8966946201356052,10.713333333333333,0.005626565482778152,0.9291104422914985,900,914,1.0,1.0155555555555555,0.015555555555555555,0.6487964989059081,0.5540245175361633,0.6699847028891446,0.07096559408863357,10.09692668914795
