task_type,mode,metric,mean,ci_low,ci_high,n
Contextual,AI-first,share,0.394956781467134,0.39174078688585157,0.3981727760484164,20
Contextual,Hybrid,share,0.2800394205021735,0.2780742867594956,0.28200455424485144,20
Contextual,Peer-first,share,0.32500379803069246,0.32151221131380614,0.3284953847475788,20
Integrative,AI-first,share,0.40823496034144646,0.40436334076511565,0.41210657991777727,20
Integrative,Hybrid,share,0.2798071669110608,0.27749437719233666,0.2821199566297849,20
Integrative,Peer-first,share,0.3119578727474927,0.30748037104247034,0.3164353744525151,20
Structured,AI-first,share,0.4217985900025183,0.41742532039676805,0.42617185960826853,20
Structured,Hybrid,share,0.27854605903504953,0.2762549503180488,0.28083716775205025,20
Structured,Peer-first,share,0.2996553509624323,0.2956086657604355,0.3037020361644291,20
