factor,level,metric,mean_difference,ci_low,ci_high,n
ai_access_saturation,+20%,final_human_interaction_rate,-0.002855555555555611,-0.008174485724738778,0.0024633746136275567,20
ai_access_saturation,+20%,final_ai_use_rate,0.004688888888888881,-0.00036074008466724546,0.009738517862445008,20
ai_access_saturation,+20%,final_mean_quality,0.00017928406429860156,-0.000598990907287744,0.0009575590358849471,20
ai_access_saturation,+20%,final_mean_knowledge,2.7329112648050158e-05,-0.00015566854913824266,0.00021032677443434298,20
ai_access_saturation,+20%,final_mean_peer_trust,3.9056777954110664e-05,-0.00029711717068477475,0.0003752307265929961,20
ai_access_saturation,+20%,final_mean_tie_strength,-0.00016017353534699964,-0.0005602695718574502,0.00023992250116345101,20
ai_access_saturation,+20%,final_recent_active_tie_fraction,-0.0006105334260463724,-0.0054029751200297405,0.004181908267936995,20
ai_access_saturation,+20%,final_mean_unique_peer_partners,0.01762222222222203,-0.03390922890647924,0.06915367335092329,20
ai_access_saturation,+20%,edge_retention_ratio,0.0,0.0,0.0,20
ai_access_saturation,-20%,final_human_interaction_rate,0.002344444444444399,-0.0033801065550519635,0.008068995443940762,20
ai_access_saturation,-20%,final_ai_use_rate,-0.006399999999999984,-0.012226094813336471,-0.0005739051866634967,20
ai_access_saturation,-20%,final_mean_quality,0.000498944745089791,-0.00037212560076182457,0.0013700150909414068,20
ai_access_saturation,-20%,final_mean_knowledge,-9.884735371577524e-05,-0.00027097347087134174,7.327876343979124e-05,20
ai_access_saturation,-20%,final_mean_peer_trust,0.00040383350849153564,8.500578941350703e-05,0.0007226612275695642,20
ai_access_saturation,-20%,final_mean_tie_strength,0.00019577497243882246,-0.00023809353024718875,0.0006296434751248336,20
ai_access_saturation,-20%,final_recent_active_tie_fraction,0.0018541486296549281,-0.0019339878142164404,0.0056422850735262965,20
ai_access_saturation,-20%,final_mean_unique_peer_partners,0.022000000000000065,-0.023093728832226514,0.06709372883222664,20
ai_access_saturation,-20%,edge_retention_ratio,0.0,0.0,0.0,20
ai_ambiguity_verification_cost,+20%,final_human_interaction_rate,0.003844444444444417,-0.0010352666749118321,0.008724155563800667,20
ai_ambiguity_verification_cost,+20%,final_ai_use_rate,-0.002744444444444444,-0.008569627991977639,0.0030807391030887514,20
ai_ambiguity_verification_cost,+20%,final_mean_quality,0.00017360154579520448,-0.0007760840715843614,0.0011232871631747703,20
ai_ambiguity_verification_cost,+20%,final_mean_knowledge,0.00012178532336207804,-5.076860657682712e-05,0.0002943392533009832,20
ai_ambiguity_verification_cost,+20%,final_mean_peer_trust,0.000329624772071857,-2.031204217120867e-05,0.0006795615863149227,20
ai_ambiguity_verification_cost,+20%,final_mean_tie_strength,9.120339155196944e-05,-0.00026231498161585705,0.0004447217647197959,20
ai_ambiguity_verification_cost,+20%,final_recent_active_tie_fraction,0.001522307131507683,-0.0023190286441568224,0.005363642907172188,20
ai_ambiguity_verification_cost,+20%,final_mean_unique_peer_partners,0.00026666666666681494,-0.05156617063306117,0.0520995039663948,20
ai_ambiguity_verification_cost,+20%,edge_retention_ratio,0.0,0.0,0.0,20
ai_ambiguity_verification_cost,-20%,final_human_interaction_rate,-0.007922222222222247,-0.013193631761507625,-0.0026508126829368683,20
ai_ambiguity_verification_cost,-20%,final_ai_use_rate,0.002244444444444438,-0.002771361816129236,0.007260250705018112,20
ai_ambiguity_verification_cost,-20%,final_mean_quality,0.00011939528572857405,-0.000824079907299048,0.0010628704787561962,20
ai_ambiguity_verification_cost,-20%,final_mean_knowledge,5.111814720515917e-05,-0.00013713183119531367,0.00023936812560563202,20
ai_ambiguity_verification_cost,-20%,final_mean_peer_trust,0.0001331059932708878,-0.00021444515063649623,0.00048065713717827184,20
ai_ambiguity_verification_cost,-20%,final_mean_tie_strength,3.5550594329913922e-06,-0.000346194584254902,0.0003533047031208848,20
ai_ambiguity_verification_cost,-20%,final_recent_active_tie_fraction,-0.0006080199703583477,-0.004372325390648211,0.0031562854499315148,20
ai_ambiguity_verification_cost,-20%,final_mean_unique_peer_partners,-0.00640000000000045,-0.06675497021022404,0.05395497021022314,20
ai_ambiguity_verification_cost,-20%,edge_retention_ratio,0.0,0.0,0.0,20
choice_temperature,+20%,final_human_interaction_rate,0.010422222222222189,0.006220847887060194,0.014623596557384183,20
choice_temperature,+20%,final_ai_use_rate,7.777777777776552e-05,-0.004143519054982015,0.004299074610537545,20
choice_temperature,+20%,final_mean_quality,-0.0005079825058810327,-0.0012664621590400306,0.00025049714727796524,20
choice_temperature,+20%,final_mean_knowledge,-0.00046514115100625977,-0.0006564076740880429,-0.0002738746279244766,20
choice_temperature,+20%,final_mean_peer_trust,0.0007098920345306626,0.0003491402561504642,0.001070643812910861,20
choice_temperature,+20%,final_mean_tie_strength,-0.0003118145465850819,-0.0006677167408223071,4.408764765214334e-05,20
choice_temperature,+20%,final_recent_active_tie_fraction,0.006522340212757866,0.00294219423217614,0.010102486193339592,20
choice_temperature,+20%,final_mean_unique_peer_partners,0.1501999999999999,0.09458108359682854,0.20581891640317124,20
choice_temperature,+20%,edge_retention_ratio,0.0,0.0,0.0,20
choice_temperature,-20%,final_human_interaction_rate,-0.01602222222222225,-0.022414459354191618,-0.009629985090252882,20
choice_temperature,-20%,final_ai_use_rate,-0.002377777777777762,-0.0073233114567618565,0.0025677559012063328,20
choice_temperature,-20%,final_mean_quality,0.0008632788860290175,3.749631312710707e-06,0.0017228081407453244,20
choice_temperature,-20%,final_mean_knowledge,0.0006827922032396294,0.0005014500057121268,0.0008641344007671321,20
choice_temperature,-20%,final_mean_peer_trust,-0.0004522575139999374,-0.0007934736492312526,-0.00011104137876862224,20
choice_temperature,-20%,final_mean_tie_strength,0.0003982503414154015,9.370913874863832e-05,0.0007027915440821647,20
choice_temperature,-20%,final_recent_active_tie_fraction,-0.010452727288666535,-0.014831470619250262,-0.006073983958082808,20
choice_temperature,-20%,final_mean_unique_peer_partners,-0.1717999999999999,-0.21912194267662685,-0.12447805732337294,20
choice_temperature,-20%,edge_retention_ratio,0.0,0.0,0.0,20
expected_quality_weight,+20%,final_human_interaction_rate,-0.00013333333333338527,-0.006078096646647289,0.0058114299799805185,20
expected_quality_weight,+20%,final_ai_use_rate,-0.007377777777777766,-0.01232946620476593,-0.0024260893507896007,20
expected_quality_weight,+20%,final_mean_quality,0.0001179828922329318,-0.0007009125758735922,0.0009368783603394559,20
expected_quality_weight,+20%,final_mean_knowledge,0.00023260811752063293,4.841700635677758e-05,0.00041679922868448826,20
expected_quality_weight,+20%,final_mean_peer_trust,0.0001278129816055462,-0.0002769557069263963,0.0005325816701374888,20
expected_quality_weight,+20%,final_mean_tie_strength,-1.7406046390536224e-05,-0.0004351902430949617,0.0004003781503138892,20
expected_quality_weight,+20%,final_recent_active_tie_fraction,-0.00043002226471134384,-0.004269211483180587,0.003409166953757899,20
expected_quality_weight,+20%,final_mean_unique_peer_partners,-0.0001555555555559529,-0.05592427635843387,0.05561316524732197,20
expected_quality_weight,+20%,edge_retention_ratio,0.0,0.0,0.0,20
expected_quality_weight,-20%,final_human_interaction_rate,0.003077777777777746,-0.0018172131305505268,0.007972768686106019,20
expected_quality_weight,-20%,final_ai_use_rate,6.666666666665932e-05,-0.004178812699662071,0.00431214603299539,20
expected_quality_weight,-20%,final_mean_quality,0.0002404373997659637,-0.0005871485783173422,0.0010680233778492696,20
expected_quality_weight,-20%,final_mean_knowledge,-0.00013609774968292854,-0.00032434394875939597,5.2148449393538864e-05,20
expected_quality_weight,-20%,final_mean_peer_trust,0.00034051072597502394,-0.00011130927584175398,0.0007923307277918018,20
expected_quality_weight,-20%,final_mean_tie_strength,0.00033037239313125075,-2.404923082635136e-05,0.0006847940170888529,20
expected_quality_weight,-20%,final_recent_active_tie_fraction,0.0007161958997099927,-0.003919502121793534,0.005351893921213519,20
expected_quality_weight,-20%,final_mean_unique_peer_partners,-0.006355555555556158,-0.05705076085008736,0.04433964973897505,20
expected_quality_weight,-20%,edge_retention_ratio,0.0,0.0,0.0,20
external_peer_search_probability,+20%,final_human_interaction_rate,-0.0019111111111111522,-0.006951656295857636,0.003129434073635331,20
external_peer_search_probability,+20%,final_ai_use_rate,-0.0017222222222222304,-0.006770044204333645,0.0033255997598891835,20
external_peer_search_probability,+20%,final_mean_quality,-0.0005669999518114644,-0.0012458363165033493,0.00011183641288042042,20
external_peer_search_probability,+20%,final_mean_knowledge,1.72987206078945e-05,-0.000216484555959539,0.000251081997175328,20
external_peer_search_probability,+20%,final_mean_peer_trust,-0.00031844055652617277,-0.0006842587747052664,4.73776616529208e-05,20
external_peer_search_probability,+20%,final_mean_tie_strength,-0.0005853321552276525,-0.0008623099242219909,-0.0003083543862333141,20
external_peer_search_probability,+20%,final_recent_active_tie_fraction,-0.002121285568408604,-0.006200441337620367,0.001957870200803158,20
external_peer_search_probability,+20%,final_mean_unique_peer_partners,0.13319999999999937,0.0974697690411381,0.16893023095886064,20
external_peer_search_probability,+20%,edge_retention_ratio,0.0,0.0,0.0,20
external_peer_search_probability,-20%,final_human_interaction_rate,-0.0025555555555555774,-0.009138097293272963,0.004026986182161809,20
external_peer_search_probability,-20%,final_ai_use_rate,0.002177777777777795,-0.0032904361457995693,0.007645991701355159,20
external_peer_search_probability,-20%,final_mean_quality,6.325644691048681e-05,-0.0009658514685772333,0.001092364362398207,20
external_peer_search_probability,-20%,final_mean_knowledge,7.648434831931672e-05,-6.0778986884817634e-05,0.00021374768352345108,20
external_peer_search_probability,-20%,final_mean_peer_trust,0.0006153080463409622,0.0003469946083279462,0.0008836214843539782,20
external_peer_search_probability,-20%,final_mean_tie_strength,0.0008406291007995503,0.0005684235824565344,0.0011128346191425663,20
external_peer_search_probability,-20%,final_recent_active_tie_fraction,0.0024704545513951014,-0.00229585378638246,0.007236762889172663,20
external_peer_search_probability,-20%,final_mean_unique_peer_partners,-0.1685333333333337,-0.21240706940333498,-0.12465959726333242,20
external_peer_search_probability,-20%,edge_retention_ratio,0.0,0.0,0.0,20
hybrid_coordination_burden,+20%,final_human_interaction_rate,-0.005144444444444474,-0.010331919812847262,4.303092395831383e-05,20
hybrid_coordination_burden,+20%,final_ai_use_rate,-0.0022999999999999965,-0.007123288814587391,0.002523288814587398,20
hybrid_coordination_burden,+20%,final_mean_quality,-0.00036441560686287786,-0.0011525727310581775,0.00042374151733242174,20
hybrid_coordination_burden,+20%,final_mean_knowledge,-5.784125964303222e-07,-0.0001734615594155677,0.00017230473422270704,20
hybrid_coordination_burden,+20%,final_mean_peer_trust,0.00012906301021576306,-0.00023584177268907338,0.0004939677931205995,20
hybrid_coordination_burden,+20%,final_mean_tie_strength,-6.343829631806074e-05,-0.00043408423253647516,0.0003072076399003537,20
hybrid_coordination_burden,+20%,final_recent_active_tie_fraction,-0.002729653702500784,-0.006732245179615258,0.0012729377746136905,20
hybrid_coordination_burden,+20%,final_mean_unique_peer_partners,-0.025555555555556886,-0.07476471931955062,0.023653608208436844,20
hybrid_coordination_burden,+20%,edge_retention_ratio,0.0,0.0,0.0,20
hybrid_coordination_burden,-20%,final_human_interaction_rate,0.0021888888888888457,-0.0006012538991801222,0.004979031676957814,20
hybrid_coordination_burden,-20%,final_ai_use_rate,-0.0011666666666666603,-0.006303588712295067,0.003970255378961746,20
hybrid_coordination_burden,-20%,final_mean_quality,0.0003070000330240963,-0.0005228143681927184,0.0011368144342409111,20
hybrid_coordination_burden,-20%,final_mean_knowledge,4.193888789140732e-05,-0.00012646877875249708,0.00021034655453531175,20
hybrid_coordination_burden,-20%,final_mean_peer_trust,0.000396121382713327,9.376584379115803e-06,0.0007828661810475382,20
hybrid_coordination_burden,-20%,final_mean_tie_strength,0.00038681578636168555,-2.4479589247930662e-05,0.0007981111619713018,20
hybrid_coordination_burden,-20%,final_recent_active_tie_fraction,0.0006989821431926168,-0.0029596542470069053,0.004357618533392139,20
hybrid_coordination_burden,-20%,final_mean_unique_peer_partners,-0.007400000000000606,-0.0715578340667583,0.056757834066757086,20
hybrid_coordination_burden,-20%,edge_retention_ratio,0.0,0.0,0.0,20
knowledge_learning_rate,+20%,final_human_interaction_rate,0.002622222222222181,-0.0019410369559323152,0.007185481400376678,20
knowledge_learning_rate,+20%,final_ai_use_rate,-0.007111111111111091,-0.012019194675301496,-0.0022030275469206847,20
knowledge_learning_rate,+20%,final_mean_quality,0.0054535033193647605,0.004587341644239588,0.006319664994489933,20
knowledge_learning_rate,+20%,final_mean_knowledge,0.0075353531365420666,0.007313046168418111,0.007757660104666022,20
knowledge_learning_rate,+20%,final_mean_peer_trust,0.003619362711906449,0.0032339043184505586,0.004004821105362339,20
knowledge_learning_rate,+20%,final_mean_tie_strength,0.00013112401962281361,-0.00018949478658510403,0.00045174282583073126,20
knowledge_learning_rate,+20%,final_recent_active_tie_fraction,0.0013830030282437511,-0.0030971422888171896,0.005863148345304691,20
knowledge_learning_rate,+20%,final_mean_unique_peer_partners,-0.008711111111111424,-0.05061342633650165,0.0331912041142788,20
knowledge_learning_rate,+20%,edge_retention_ratio,0.0,0.0,0.0,20
knowledge_learning_rate,-20%,final_human_interaction_rate,-0.004111111111111137,-0.009695822580426443,0.001473600358204168,20
knowledge_learning_rate,-20%,final_ai_use_rate,0.0036222222222222545,-0.0017518462395028733,0.008996290683947382,20
knowledge_learning_rate,-20%,final_mean_quality,-0.005020842098675154,-0.0060709078328418,-0.003970776364508508,20
knowledge_learning_rate,-20%,final_mean_knowledge,-0.0081048322756335,-0.008282366313548041,-0.007927298237718958,20
knowledge_learning_rate,-20%,final_mean_peer_trust,-0.0035541355609893686,-0.0038538075419347526,-0.0032544635800439846,20
knowledge_learning_rate,-20%,final_mean_tie_strength,-4.330992698669267e-05,-0.00034945974001314195,0.00026283988603975666,20
knowledge_learning_rate,-20%,final_recent_active_tie_fraction,-0.001664808285427799,-0.00505267945207227,0.001723062881216672,20
knowledge_learning_rate,-20%,final_mean_unique_peer_partners,0.029377777777776882,-0.013734959176689567,0.07249051473224333,20
knowledge_learning_rate,-20%,edge_retention_ratio,0.0,0.0,0.0,20
local_social_learning_weight,+20%,final_human_interaction_rate,-0.004688888888888914,-0.009980952953899565,0.0006031751761217362,20
local_social_learning_weight,+20%,final_ai_use_rate,-0.00016666666666665942,-0.005246865730633608,0.004913532397300289,20
local_social_learning_weight,+20%,final_mean_quality,-4.21065467062276e-05,-0.0011230623727895013,0.001038849279377046,20
local_social_learning_weight,+20%,final_mean_knowledge,1.692324785526611e-05,-0.0001577712377451491,0.00019161773345568133,20
local_social_learning_weight,+20%,final_mean_peer_trust,0.00020756280422212225,-0.00014950367773026115,0.0005646292861745056,20
local_social_learning_weight,+20%,final_mean_tie_strength,0.00016954630613326971,-0.0002650213141340538,0.0006041139264005932,20
local_social_learning_weight,+20%,final_recent_active_tie_fraction,-0.0004990383007292376,-0.004304087242279172,0.0033060106408206967,20
local_social_learning_weight,+20%,final_mean_unique_peer_partners,-0.024133333333333517,-0.08260956468271688,0.03434289801604984,20
local_social_learning_weight,+20%,edge_retention_ratio,0.0,0.0,0.0,20
local_social_learning_weight,-20%,final_human_interaction_rate,0.0006222222222221907,-0.004480755642065978,0.005725200086510359,20
local_social_learning_weight,-20%,final_ai_use_rate,-0.0022222222222221975,-0.006314050692186671,0.0018696062477422757,20
local_social_learning_weight,-20%,final_mean_quality,0.0003385332317426493,-0.00040698092912512475,0.0010840473926104232,20
local_social_learning_weight,-20%,final_mean_knowledge,6.783343229158634e-05,-0.00013715234670387552,0.0002728192112870482,20
local_social_learning_weight,-20%,final_mean_peer_trust,0.00014627826213838845,-0.00022262243612831265,0.0005151789604050896,20
local_social_learning_weight,-20%,final_mean_tie_strength,0.00020788294076919678,-0.000225545518390493,0.0006413113999288865,20
local_social_learning_weight,-20%,final_recent_active_tie_fraction,-0.0012331556202282822,-0.004752892969631127,0.002286581729174563,20
local_social_learning_weight,-20%,final_mean_unique_peer_partners,-0.007200000000000806,-0.06446085185348326,0.05006085185348165,20
local_social_learning_weight,-20%,edge_retention_ratio,0.0,0.0,0.0,20
mode_value_learning_rate,+20%,final_human_interaction_rate,0.0020666666666666333,-0.0018729172633388169,0.006006250596672084,20
mode_value_learning_rate,+20%,final_ai_use_rate,-0.004477777777777775,-0.009418494484396873,0.000462938928841322,20
mode_value_learning_rate,+20%,final_mean_quality,-8.45194235838731e-05,-0.0009666769323655482,0.0007976380851978021,20
mode_value_learning_rate,+20%,final_mean_knowledge,5.883582947350252e-05,-0.0001423485069604543,0.00026002016590745934,20
mode_value_learning_rate,+20%,final_mean_peer_trust,0.00056651282310487,0.0003021616588783473,0.0008308639873313927,20
mode_value_learning_rate,+20%,final_mean_tie_strength,0.00023873120546339389,-0.0001569583798610657,0.0006344207907878535,20
mode_value_learning_rate,+20%,final_recent_active_tie_fraction,0.0025626769497440636,-0.0011336704401903614,0.006259024339678489,20
mode_value_learning_rate,+20%,final_mean_unique_peer_partners,-0.006600000000000339,-0.053854226071282776,0.04065422607128209,20
mode_value_learning_rate,+20%,edge_retention_ratio,0.0,0.0,0.0,20
mode_value_learning_rate,-20%,final_human_interaction_rate,-0.0016111111111111298,-0.008103029459205296,0.0048808072369830365,20
mode_value_learning_rate,-20%,final_ai_use_rate,3.333333333335187e-05,-0.006888384149134942,0.006955050815801647,20
mode_value_learning_rate,-20%,final_mean_quality,0.00021462272988577723,-0.0007888396533166234,0.001218085113088178,20
mode_value_learning_rate,-20%,final_mean_knowledge,1.699164837111189e-05,-0.0002084432400939807,0.0002424265368362045,20
mode_value_learning_rate,-20%,final_mean_peer_trust,4.4688105583196025e-05,-0.0002747864817666821,0.00036416269293307416,20
mode_value_learning_rate,-20%,final_mean_tie_strength,4.845637083054355e-05,-0.0003369015528674015,0.00043381429452848865,20
mode_value_learning_rate,-20%,final_recent_active_tie_fraction,0.0006997076074224673,-0.003276056534983446,0.00467547174982838,20
mode_value_learning_rate,-20%,final_mean_unique_peer_partners,0.01644444444444364,-0.04546474545476899,0.07835363434365628,20
mode_value_learning_rate,-20%,edge_retention_ratio,0.0,0.0,0.0,20
peer_communication_noise_sd,+20%,final_human_interaction_rate,-0.0005444444444444807,-0.004950403029009919,0.0038615141401209577,20
