replication,task_type,mode,mean_quality,mean_support_gain,success_rate,mean_difficulty,mean_solo_quality,n_events
7,Contextual,AI-first,0.5317442305638331,0.011089139193467875,0.2554498004298434,0.5827052752010429,0.5206550913703653,3257
7,Contextual,Hybrid,0.5345368719715753,0.011411099826867313,0.27467248908296943,0.5778682473753393,0.523125772144708,2290
7,Contextual,Peer-first,0.5513268302192272,0.015019419667342264,0.3221223543055958,0.5785779056626092,0.536307410551885,3449
7,Integrative,AI-first,0.5423924201769039,0.022773501031796664,0.2996632996632997,0.5807558216267005,0.5196189191451073,3267
7,Integrative,Hybrid,0.5434506390734725,0.018370304002836478,0.30082716586852415,0.5848202081045432,0.525080335070636,2297
7,Integrative,Peer-first,0.5505826500467738,0.014572124609637985,0.3339212228101117,0.5803300484744376,0.5360105254371358,3402
7,Structured,AI-first,0.5656151127346397,0.03314624959980199,0.4062219563266527,0.5827960987637641,0.5324688631348377,3343
7,Structured,Hybrid,0.556708431042602,0.024912111477100658,0.3653198653198653,0.5800813606892455,0.5317963195655013,2376
7,Structured,Peer-first,0.5575505661220386,0.013473962739002684,0.38053630611630007,0.5872800885395825,0.5440766033830359,3319
8,Contextual,AI-first,0.5348293704375015,0.011186105446261774,0.25225786359389596,0.5840151568064195,0.5236432649912397,3211
8,Contextual,Hybrid,0.5381696774492221,0.012082806699050527,0.2750766535260622,0.5806097527004607,0.5260868707501715,2283
8,Contextual,Peer-first,0.5566909476276356,0.015480995179087253,0.33564213564213563,0.5762647056963839,0.5412099524485483,3465
8,Integrative,AI-first,0.5474115151169552,0.022014384433512942,0.3037747153984422,0.5801259457463028,0.5253971306834423,3338
8,Integrative,Hybrid,0.5438290392800951,0.020187072383396253,0.31089882761615284,0.5805999647302558,0.5236419668966988,2303
8,Integrative,Peer-first,0.5511662600055233,0.016023514765715213,0.3362496354622339,0.5807269024847843,0.535142745239808,3429
8,Structured,AI-first,0.5686515315473671,0.03456650839747132,0.41732513901082824,0.5787806126817483,0.5340850231498958,3417
8,Structured,Hybrid,0.5568944973762251,0.024434454673178816,0.3852716659182757,0.5802378922971845,0.5324600427030463,2227
8,Structured,Peer-first,0.5640808223341647,0.014007816849067472,0.40817553351367597,0.5782824480175742,0.5500730054850972,3327
9,Contextual,AI-first,0.5430046287185045,0.008135244377040487,0.28264162375037866,0.5781982800318534,0.534869384341464,3301
9,Contextual,Hybrid,0.5392865804242729,0.010718784184167749,0.272264631043257,0.5798385763289395,0.5285677962401052,2358
9,Contextual,Peer-first,0.5572691629705147,0.015024569470478082,0.3298368298368298,0.5768412447746437,0.5422445935000365,3432
9,Integrative,AI-first,0.5550203556261367,0.018690366896164195,0.33462918660287083,0.5792308214491966,0.5363299887299726,3344
9,Integrative,Hybrid,0.5440807180949045,0.015999513905128958,0.3094804010938924,0.5774118875307198,0.5280812041897756,2194
9,Integrative,Peer-first,0.5524007614875709,0.014050748403313442,0.3231312536786345,0.5834218482984405,0.5383500130842576,3398
9,Structured,AI-first,0.5693186247996641,0.03206325953849633,0.4110535405872193,0.58292270221041,0.5372553652611678,3474
9,Structured,Hybrid,0.5603783381387957,0.023114255651910404,0.38370565045992117,0.5789315578295577,0.5372640824868853,2283
